Mgas,Mbar
12847614.26635361,24887088004.372707
18868755878.398785,29239929669.054405
4628832.003636396,22375326959.178776
6565100532.724075,26865953924.473557
19261956218.68974,28836676271.144142
19668631915.787792,24952014214.713264
25367581200.422623,29834716458.787727
23038569182.719643,28572473349.427414
14556195894.94687,18063109201.880775
0.0,25963639770.922085
18168459137.854813,21560003516.03411
14102732794.748837,17709821073.23355
20722809761.98023,27566581120.492733
16491976547.724112,22926457837.68086
2169052477.776388,20960554596.711014
16235828391.36433,25012156227.201157
1663576513.8859577,17115142018.542143
127096804.91303915,20275404022.898758
8103014778.932341,22786208041.13739
11567320161.15133,23203104916.57094
9429919246.591331,21289721754.269547
22121775124.007828,29757345147.66649
11565188167.620678,20850739366.716743
14147262967.503838,18762822454.60217
10267792174.462145,13457834953.538866
398741891.9306401,12319441780.388758
6888081010.909451,10185487927.089422
6898315285.851654,20220655636.41433
15338703492.095457,23038765350.98521
18365158904.038685,25301226727.235146
15954709334.976336,23465873464.879368
11673026518.098158,20692761358.368584
7254603956.596578,18341582872.299984
10032911245.724787,20034417284.977997
15623733207.801836,21447038156.068073
8294118398.501785,10966788853.99755
18284053727.104614,25116695599.02849
1513651906.0158842,17273259436.06555
19304740114.95995,25241529920.17486
8177206096.042052,18721042470.577854
15603581765.265083,22875468281.49736
9437866935.071018,19974935638.840202
5172300393.123132,14552276085.619576
16974433.630839724,14772070845.200264
3804690541.32544,5865493353.114152
2770446244.69262,7650917222.006157
16405467270.193262,23578583643.462677
10447503986.674242,12509369192.578863
829348150.50161,15370319326.377012
12991451605.014942,21766922915.53775
12105190890.207954,20870957759.92607
0.0,14950225471.758213
12961354030.32971,17981544777.481354
17234459405.67508,21948702841.483456
8133271052.083412,18200651819.324776
8507451340.590422,18396871054.391277
11576638285.570702,20438810451.793182
15491239635.786352,19747950026.092625
4685686420.108862,10888194278.71143
10307480797.70457,19370396318.56105
6826484283.787295,18293039276.69715
11544804134.083857,20192114496.903313
15668890447.590347,21496454436.882175
4484527324.579205,15225112500.115313
11774754626.190355,18220125319.336235
39211922.920321174,16104277798.322046
15155194817.680916,20860688277.33136
14594741339.256334,19726029065.165813
5132486002.49968,15048738621.130928
12839260023.8069,18340332080.099613
2471190750.4064045,10936186253.596996
0.0,12981014545.679195
0.0,18165044039.472187
15600117554.095253,18004624808.64435
10657885.104092825,13716089637.619602
