galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
571,003168,10.677995103978272,0.25880171318121675,363142533.28980553,2281.5437979923763,1968.6013953360145,2.593994140625,24.674142585124603,24.747832128121235,19.517493660545792,19.499045948660676,24.064518817478408,24.747832128121235,21.421900966126277,21.35425814074556,1.0,336368.0856831134,2697572.962593266,-10.033262335306308,-10.129103918805082
571,003072,10.35494420532005,0.2917451296860003,356048585.15354145,2182.193237324388,1880.5798043703012,2.44140625,24.177884763725316,24.202210399864207,15.729341612493164,15.733205159183816,23.654233040782024,24.202210399864207,21.09253561200724,21.023230261829966,1.0,339387.5436732788,2858124.2313505863,-10.020813365695497,-10.095428162405689
571,002976,10.031893306677633,0.3262142719221508,348435076.19299823,2085.028389258694,1794.2437804121569,2.593994140625,24.06045088225034,24.06672798124277,15.585339432667002,15.575973720812106,24.018463554009,24.06672798124277,22.385498696594087,22.315183698401952,1.0,322055.7577801705,2959932.145500187,-10.034190800038049,-10.070840112749552
571,002880,9.708842408030144,0.3623408972390421,341446852.62164986,1988.4414429321996,1709.100727787347,2.44140625,24.331483618594326,24.33944887408278,15.190313904047725,15.164951314573493,23.83589905216793,24.33944887408278,22.554630400448303,22.46239357847995,1.0,492285.4998438527,3195244.272366086,-9.841106069929397,-10.028819048821399
571,002784,9.385791509383662,0.4002735470981843,334841640.5068648,1893.8658680812928,1625.19487310339,2.44140625,24.34210281105057,24.407756604089528,17.634572053733258,17.600951357348457,23.822903469172267,24.407756604089528,22.61257751743201,22.55107240744104,1.0,336590.69109621993,2855922.836353442,-9.997737360261196,-10.069092991882224
571,002688,9.062740610743443,0.4401803363850955,328465805.3651137,1800.4783988955323,1543.4409172851153,2.44140625,24.01617446773309,24.040413791165992,15.790566745113008,15.798860780610056,22.56807888439263,24.040413791165992,24.296148248336664,24.12769824076966,1.0,246826.42221632498,2791429.983402808,-10.124098516313238,-10.07066342537026
571,002592,8.739689712072904,0.4822523237304839,322654912.5416325,1709.1448914426282,1463.395127278256,2.44140625,24.779940768884966,24.78517373490655,15.676282691629067,15.683282943432326,25.673466029327717,24.78517373490655,27.808993823090614,27.74780417472538,1.0,397870.54304394894,3962201.673917356,-9.908996495110925,-9.910801704670455
571,002496,8.416638813438318,0.5267076106080933,315378706.02572614,1619.757699832952,1384.9300162439545,2.5177001953125,23.1957602712388,23.24046366293229,18.262644449001147,18.252985238122196,23.12990221318161,23.24046366293229,24.12951633595939,24.129022965322616,1.0,296250.83357594715,2479638.2192202187,-10.027172785948386,-10.104444045355189
571,002400,8.093587914796643,0.5737963620182202,310177849.6606115,1531.7935525189287,1307.9664068759118,2.5177001953125,22.690103012641668,22.75436808004514,18.627650416207207,18.639571063127313,22.6253507792592,22.75436808004514,21.270324224464396,21.179876868279415,1.0,279806.2535459607,1791191.2943641185,-10.044753364307288,-10.238468811064335
571,002304,7.770537016151854,0.623807002453045,305178089.15868706,1447.3283038636312,1234.955692412902,2.3651123046875,27.112328956662413,27.12522951969192,18.470304606649712,18.42773862986101,27.880138688396013,27.12522951969192,25.761505519453998,25.75948951518098,1.0,428184.21411618753,1964166.4345950172,-9.852922697301585,-10.191375064240232
571,002208,7.447486117516264,0.6770739248474871,301731826.3362658,1366.3631638098568,1163.2798196537822,2.5177001953125,23.111946954780247,23.085893354126323,18.133823136372992,18.114463680456197,23.498204260041295,23.085893354126323,27.378467404630726,27.311236618569414,1.0,234473.1716583756,3021332.7582535422,-10.109527963423456,-9.999422562016138
571,002112,7.124435218878424,0.7339871666924528,297476258.0798658,1285.1207725019035,1091.4913123434762,3.0517578125,22.871341127215093,22.924530095192157,17.248469464423717,17.23797395474143,22.171885902801193,22.924530095192157,25.123907606830034,25.05133739679794,1.0,194026.70834262087,2327629.637921796,-10.185590793960749,-10.106538431440665
571,002016,6.801384320232248,0.795004671697318,292209938.44286907,1203.6231033506783,1020.1374525234921,3.0517578125,23.131793171774213,23.172793170010614,15.908216134814255,15.899416090573096,21.96911958771421,23.172793170010614,22.594108814153255,22.54987154375452,1.0,293061.6284748342,2238116.297427836,-9.998736024221323,-10.115812333102092
571,001920,6.478333421583828,0.8606679900498193,287963448.0571809,1122.844848563731,950.1209142273462,2.9754638671875,21.85631691835097,21.807990909552903,13.306977192281337,13.291319291852735,19.75250536230949,21.807990909552903,19.95035016942551,19.89019168500662,1.0,159233.7475850402,1360177.6284743417,-10.257302248743205,-10.325741737630306
571,001824,6.155282522945121,0.9316226108054796,282514654.6868998,1042.7849104875452,881.1709918657162,2.8228759765625,22.490397195596817,22.495026324492596,13.275337783873042,13.282012878288661,21.944055613410857,22.495026324492596,29.504084348357328,29.598127086691587,1.0,147310.59030829524,2204460.6736371326,-10.282807010759083,-10.107738624939095
571,001728,5.832231624302711,1.0086446225389685,278265626.395095,963.2821754235533,813.9511389989812,2.3651123046875,23.65921258117735,23.63453198888088,18.667704822730972,18.62942613305194,23.506097841304108,23.63453198888088,26.63046446559964,26.61445025719264,1.0,305215.1762826454,1563850.5337146416,-9.959853437763426,-10.250264319445742
571,001632,5.509180725669121,1.092676154106714,274466508.22662127,886.6027949156506,750.7699111669335,2.288818359375,25.526464620255453,25.510682822533155,16.091322608444273,16.102955012847655,25.707806664067316,25.510682822533155,25.722497274982388,25.702703750079976,1.0,329038.1277107357,1420900.1754357766,-9.921243131948362,-10.28592578936062
571,001536,5.186129827027196,1.1848732073570274,271710150.7299015,815.4500787654677,691.7600247782673,2.593994140625,23.919757379638128,23.89606321375081,13.035874448104801,13.019589800618832,22.763253247621297,23.89606321375081,22.539069465973505,22.428592642885345,1.0,167903.82392883487,1064093.438529262,-10.209045276286641,-10.407126098155622
571,001440,4.86307892838246,1.286671314582255,270892030.783465,747.377265775894,634.7649056900991,3.0517578125,24.486362125510357,24.454493628693267,20.080709926230075,20.12914635733233,21.710573965414962,24.454493628693267,24.902525588203755,24.81930829680096,1.0,41133.57666553308,945316.4089935935,-10.81859975483894,-10.457219032431395
571,001344,4.540028029738439,1.3998773857451376,270652418.9381677,682.1936951384087,579.6360752160665,3.204345703125,23.861783253037867,23.852212414958014,12.21570626846957,12.164286147064542,23.15153049522393,23.852212414958014,32.48883464068408,32.52976050833769,1.0,274452.8829037539,2135283.187370376,-9.993944115871738,-10.10295643236428
571,001248,4.216977131097377,1.5268009671791154,267894751.3473371,620.1087783602909,526.9134311231089,3.7384033203125,23.234281055977284,23.199552076739536,21.713857697848272,21.75543106039825,28.96855094443683,23.199552076739536,59.31637654235493,59.272932932489645,1.0,67227.3569610171,2914881.608044094,-10.600418167566692,-9.963343284917892
571,001152,3.8939262324560757,1.6704464395283702,254527808.72384995,558.3145593174177,474.4484657907317,4.15802001953125,21.88718123392069,21.81854117038302,14.660937462649978,14.635770826526938,28.481341882302328,21.81854117038302,56.86777017440025,56.76615874504636,1.0,227725.84966473476,9401583.08384286,-10.048322907460005,-9.432534250246317
571,001056,3.570875333811516,1.8348024148848388,239570443.7705197,496.82854767476135,422.25396763998924,3.85284423828125,23.506252000320686,23.39449061898276,22.2980636187356,22.38639294409715,26.855494171047248,23.39449061898276,54.409318760195504,53.90445425896697,1.0,345724.15098917304,7383914.781222921,-9.840703518562,-9.511146561549182
571,000960,3.247824435160233,2.025291841894202,227738716.74187404,438.4670084687018,372.13995165517616,3.8909912109375,22.64448196046062,22.701178054076394,19.06671964194797,19.07077801424414,25.66896116307605,22.701178054076394,40.2499976588054,40.23143368930043,1.0,479427.65359370416,2207406.7445910214,-9.67671378845284,-10.013554503989878
571,000864,2.9247735365168563,2.249499247240558,216193367.26699293,381.68078722415413,323.57881975629414,4.119873046875,24.409988251270562,24.394384604535936,10.859225462612338,10.865021673090705,26.73918727243671,24.394384604535936,50.43272475109845,50.3727119756662,1.0,144340.42943019274,3698443.263661908,-10.175454372784515,-9.766823405075499
571,000768,2.601722637872668,2.5184004086599865,205102644.62858605,328.04145509913747,277.81205594672497,4.5013427734375,24.7596696070658,24.68267235899028,17.82581816365869,17.797357165669414,34.718394482684424,24.68267235899028,67.16972676966819,66.8743781759146,1.0,294937.60282119137,31029284.324993975,-9.842241114180954,-8.820199501358298
571,000672,2.2786717392271694,2.8485597433179084,158773996.9371721,275.58894829521137,233.09053969115203,4.69207763671875,21.72004657326282,21.75056086012958,14.815463926120914,14.809433093159841,29.14056598193612,21.75056086012958,45.213781766031204,44.88080857578078,1.0,3150329.9727473445,11861104.9243248,-8.702423332575476,-9.126654230013678
571,000576,1.9556208405884523,3.266336524182581,123176034.23700869,227.5856955463484,192.48579597375578,5.07354736328125,28.291859327630434,27.937984726680444,19.019737947967037,18.9878229894621,28.55496927065565,27.937984726680444,48.47175153059897,48.40453742485736,1.00000000551506,1608587.1735221462,11329979.619066652,-8.884081616055514,-9.03629708884514
571,000480,1.6325699419513195,3.8166784400774807,78156901.1255191,183.21917807734863,155.07005774856958,5.18798828125,21.999591784397925,22.130219088223694,18.409651388056826,18.38281013611206,23.44909358241319,22.130219088223694,46.34023706976667,46.3072434297886,1.0000000064042818,596898.0814793058,8698945.824970284,-9.117067148529305,-8.953500705369072
571,000384,1.3095190433075612,4.583801636526775,42235369.72775625,141.5683536005153,118.95618525545115,6.9427490234375,18.2652347466856,18.24502354124157,14.836275233360498,14.83365314837447,17.747206571089848,18.24502354124157,38.76066810544856,38.73629141671631,-9.779244962211623e-10,1091409.3596733052,5067325.8834807165,-8.58768862647055,-8.92089746535371
571,000288,0.9864681446648205,5.748642531731696,25465682.720777363,104.59291637078184,88.27967482779016,9.918212890625,17.420732549426283,18.57649373037471,18.509547755080572,18.572267784070586,14.342736268064485,18.57649373037471,32.90815229626572,32.761658644555766,-3.1351193651722515e-10,968643.0136019863,3528853.663246783,-8.419791573424,-8.858321674728614
571,000192,0.6634172460196832,7.795747492276013,17244652.130435243,70.05337228034927,60.28927452582934,14.95361328125,17.167786030652618,17.579499447329027,18.49872880676515,18.54387341488443,11.21461476029198,17.579499447329027,31.139985051997087,31.144966894628134,-8.014878146290151e-10,43761.987530760074,1325148.1903062786,-9.595557399888442,-9.1143899901329
571,000096,0.3403663473769349,12.72828943923578,2092239.6130852825,48.950442231578435,29.546609333580214,9.818077087402344,7.73100496790679,7.975682287820104,4.525124913326118,4.4964077464251835,8.924532633153394,7.975682287820104,50.46793652879425,51.69720219977118,-2.3743778196377425e-09,545406.2791881697,1671521.8388260365,-7.583891286875241,-8.0974993653576
