galaxyID,timestep,t,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10,sSFR_100
492,001824,6.155282522901918,0.931622610815355,384326310.758401,1.5396853972993099,1.6000000000000012,5.001758998429368,50.24906467810534,1439290.6220400473,10586143.723079735,0.0037449703071326503,0.027544676038936358
492,001739,5.869247873060722,0.9994830609047567,363427445.70431656,1.4553656499563572,1.6000000000000012,5.074854327514119,50.42716541905267,1503315.1211781078,11576622.764822857,0.0041364930990963195,0.03185401350849424
492,001728,5.832231624257091,1.008644622550315,359172506.175247,1.4072647368103501,1.5500000000000012,5.106814676985099,51.32901857620644,1143679.5126094306,9418610.929236786,0.003184206733383451,0.026223084360029687
492,001632,5.509180725620863,1.0926761541198462,335385260.90172017,1.2061576932423863,1.500000000000001,5.353442049244483,50.90558498651414,2086780.282223303,17338265.15618547,0.0062220393246046795,0.05169656266220417
492,001536,5.1861298269800695,1.1848732073711385,290319975.46386844,1.0871417626401145,1.2500000000000009,5.976083407060312,56.85580318812894,6854366.648727081,22767490.017089438,0.023609696982700854,0.07842205821598021
492,001474,4.977492788278422,1.2494155616352793,258674302.21439168,3.588127787196354,2.9499999999999984,5.173183567153339,34.281745858095135,667628.4075631372,9182008.446862813,0.00258096147103859,0.03549640752196822
492,001440,4.863078928345641,1.286671314594468,250155115.90593082,3.7295900502399624,2.799999999999997,4.8288411893625796,36.74494151809961,1930580.837846503,7984355.978352274,0.007717534901714683,0.031917620191124686
492,001344,4.540028029708528,1.3998773857562143,221354399.53478882,8.894786404317802,2.9499999999999984,7.542087550846559,38.11466216468099,609880.0838788305,5261221.925786606,0.002755220068634686,0.02376831875419641
492,001268,4.284279401619567,1.499091733524994,211775395.3624059,2.2543338975082516,2.249999999999999,6.238062547424158,35.17635220206899,587584.824067942,6474815.089296408,0.0027745660588305025,0.030573972383412248
492,001248,4.2169771310706174,1.5268009671902745,208258339.22221178,2.027741166422803,2.1499999999999995,5.936874730626921,36.918024170279196,1092185.3465895667,3250899.8427705457,0.005244377491285975,0.015609938381875953
492,001152,3.8939262324329116,1.6704464395393583,192368644.3175299,1.9011895811305135,2.0,5.495437018939998,34.952718440549035,494726.5218209661,4942720.568710255,0.0025717627920918053,0.025694003231377154
