galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
502,002087,7.04030738063405,0.7494616046382799,330116945.11743975,507.1836182681652,7982.418243599086,5920.521739944757,7982.400000020274,46.57516243674549,38.643905772366615,1.3351188300045365,1.3595195637163753,988106.848969023,12946479.247245908,-9.52386390794452,-9.406516138013279
502,002016,6.801384320186595,0.7950046717062548,311384185.1624749,485.81471943340756,7836.426350588816,5829.2999200947415,7836.350000019743,46.666141052365795,44.158934539434334,1.3504671190176847,1.3346609095533646,1191944.7765072999,10002856.116984366,-9.417040416729764,-9.493172529610495
502,001920,6.478333421553334,0.8606679900562564,289270771.4278888,409.420056818631,10295.196000409203,7106.358481535361,-1,41.742459307646726,29.438830861117268,1.3264471923350485,1.3478059626478271,933501.2602173389,11835635.712688968,-9.49118964519074,-9.38811296416185
502,001824,6.155282522919622,0.9316226108113079,268548552.7505607,392.9982370848505,9891.244890314138,6844.105460890096,9891.24999999631,43.76149703084663,30.598194917320658,1.3364847265403381,1.376662547637363,1067713.3986239545,16700628.567736335,-9.40056812356428,-9.206289999080798
502,001739,5.869247873085754,0.9994830608985915,228571583.994943,375.27238310966885,9522.002632641896,6589.338918887332,9522.099999981001,36.365080731113224,31.506906269783038,1.2199735416424355,1.2720931865069762,305277.2708178399,5467593.587566567,-9.874327767508298,-9.621226012458191
502,001728,5.832231624284043,1.0086446225436105,228087839.8773768,373.3707823647658,9474.822945754247,6557.377324726129,9474.849999981834,34.6143673866233,33.256613441770966,1.2488625838137541,1.3463666959265357,421944.64197159815,12553894.973238721,-9.73284665580404,-9.259323641216183
502,001632,5.509180725650925,1.0926761541116643,205102582.0814132,356.55517784941014,9085.726479061685,6306.618832971315,9085.849999988697,36.705998514659996,32.1547044855173,1.169448855476931,1.3371613045144737,178752.91599693202,11723154.161815885,-10.059717992653038,-9.242926651748618
502,001536,5.186129827011639,1.184873207361686,188935278.6108891,340.28721023029584,8683.044390691095,6044.20646083137,8683.300000013887,36.12504957690575,18.007883269752938,1.2538397087263236,1.286277954644182,472250.8711578713,6799854.185750494,-9.602140290640001,-9.443813458462909
502,001474,4.977492788308829,1.2494155616255593,176083895.3028833,328.657872025785,8403.388867627331,5841.423461469661,-1,37.823126104657334,35.01575408782409,1.164615200035108,1.2489718537029744,176762.86073434397,4569839.29923225,-9.998328615472948,-9.585818708904512
502,001440,4.863078928374339,1.2866713145849487,172513754.51579702,324.47096202018656,8247.664936927635,5734.86939952992,-1,39.29973133333342,30.566257964932717,1.2260840007466818,1.2691982942258488,355388.601563107,5776316.939727088,-9.686120232579533,-9.4751727126305
502,001344,4.540028029733477,1.3998773857469744,164050313.15644386,305.66809813147086,7820.106100552193,5450.682547446592,7820.150000004268,37.1236848289775,23.91032512341826,1.3214113850129174,1.229764926932385,1058019.862443046,3762580.0846007825,-9.190483242866767,-9.639491311312582
502,001268,4.284279401642119,1.4990917335158256,157748702.14285293,289.1064215967492,7501.358126279672,5257.59608660638,7501.400000018524,36.89928086316353,29.943181842083924,1.2121797143681434,1.213959616658129,312295.7161340521,3186365.258766126,-9.703399767922125,-9.694670236554556
502,001248,4.216977131092022,1.5268009671813474,155749018.5204618,285.03011550756054,7420.215950624427,5213.695961207495,7420.250000018229,36.27149871579701,27.57628304578388,1.2098778081188104,1.1835247777619842,305483.6867561691,2268272.9284683587,-9.707437295275065,-9.836730008990878
502,001152,3.893926232448736,1.6704464395318517,153584121.94156575,257.41323724463797,7022.6671038079585,4966.274999872933,-1,32.596948416812694,28.762185001398624,0.985739834538681,1.1177302560465991,24366.7238812302,1082952.3954558158,-10.799549177159102,-10.151736952869772
502,001104,3.7324007831287176,1.7497370763223454,151431611.77919674,236.39508743247944,6825.179309545389,4841.214381132479,-1,33.99785360804814,27.257078625234286,1.2701808303622653,1.1678077508499929,609338.1144178223,1915218.0396565932,-9.395358200514002,-9.897998321084414
502,001056,3.570875333802492,1.834802414889766,145786055.28711745,224.72619751925112,6615.265453267605,4707.453657430229,6615.2500000153,32.572346476975724,23.39165626642953,1.1561337212764513,1.2631337908985172,169742.39935688765,5697512.457986287,-9.933925648117588,-9.408030701410166
502,000972,3.288205797492264,1.9998184905538359,123486486.1154798,208.8036929513383,5628.2577104398915,3806.0417991425347,5628.40000001171,27.202009943391815,32.87021200258998,0.8404312729166037,1.2927478128848873,4932.498590690462,8435851.924712947,-11.398552462845926,-9.165490484760653
502,000960,3.247824435161986,2.0252918418930856,124364248.39434864,205.78462198851935,6162.2036043678645,4404.987215888021,6162.200000013652,27.104223375550283,38.363335369900746,0.9938878770842394,1.3304457854552438,28175.796575876746,12915947.652236316,-10.644819346406464,-8.983569273341473
502,000864,2.924773536524834,2.2494992472345237,102238874.72448684,181.84232579455005,5181.933592095868,3528.3052211791937,-1,29.305904769287217,17.68134756473176,1.3147842744784852,1.2764687575482456,1161065.5389475534,7494199.5807963535,-8.94475932569294,-9.134890806080685
502,000775,2.6252784325761502,2.49696617954171,87247790.27412428,156.64732474252884,5265.441753770234,3784.9876407708925,-1,25.943855157634662,19.048502728767726,1.2781331974954142,1.2986449217693847,809517.6880808991,10243560.624489434,-9.03252809379717,-8.930303494320963
502,000768,2.6017226378840173,2.518400408649583,86389033.84444954,155.04249995048815,5235.6421778314925,3763.6835839496725,-1,25.15062709074049,19.484835808963076,1.228297194948646,1.3003738310838069,458556.12904448574,10488149.772877615,-9.27506611439521,-8.915759736441547
502,000672,2.278671739242599,2.8485597433003114,70648714.63385536,140.84963603994078,2952.4844498992697,1953.8944667020023,2952.350000001975,22.59918031855034,21.980254396411055,1.216409431462893,1.2719464204737534,430226.08327529114,8167317.312962885,-9.215407528025178,-8.937024835873068
502,000635,2.1541625387230887,2.997289738969481,64295658.67569263,131.21912020687532,2840.889920188617,1866.7160907270083,2840.7500000015493,21.11578170083054,18.964396092594022,1.2150647991047154,1.2979100936532113,438711.58304897795,11442541.469578672,-9.166002548817584,-8.749659154746677
502,000576,1.9556208406011253,3.2663365241639744,38198158.30796175,116.23804455272085,2650.3724489187507,1714.554951136411,-1,18.430160069112574,23.11546790896846,1.111332170323788,1.2205676994757901,159490.2879782658,5750139.182299126,-9.379308182058372,-8.822364067345323
502,000480,1.6325699419583368,3.816678440063586,24629123.52832557,71.43629726001123,3837.0874263635123,2769.4479278049184,3837.0500000021157,17.246461690746838,17.64148600060222,1.0639856566492751,1.1310011873122434,108237.81465098867,2400475.641428071,-9.357069941801539,-9.011151653593199
502,000454,1.545076990242002,3.9979920300667033,22823681.07421786,66.51688215660599,3695.378307129168,2671.829965640517,3695.1500000020355,17.575717540675935,18.44161623308117,1.1143003437352283,1.0415152919051245,203230.64985754518,854044.2659208667,-9.050396484218385,-9.426905308929557
502,000384,1.309519043314053,4.583801636508242,19089781.946398366,51.54531808768604,3308.40590446035,2381.07829020431,3308.5000000018254,14.957594193593486,13.769198179506297,1.2693546890902714,1.1841183173373704,1404606.9701629565,5062857.926449159,-8.133246148469961,-8.576405227262695
502,000345,1.1782796157388065,4.9927099300233015,13653627.577533673,44.1451649978428,3078.0803544954806,2212.7046247615417,3085.1500000017054,13.625589499939961,15.743713082369993,1.1435621804235447,1.0929716908368787,363709.52757413517,1973301.9920422123,-8.5744933748761,-8.840054498361237
502,000288,0.9864681446677975,5.748642531718086,11288022.472585544,32.67167799041735,2751.712275082673,1964.1241400631686,-1,11.808317950862909,13.98810058054384,1.0017281486882421,1.0887442055774064,71143.65609319089,2048394.143802333,-9.200481685412555,-8.741204339805243
502,000273,0.9359914417542531,5.989705179527774,10481261.440794809,28.816090011389026,2591.2462262403997,1914.6609686597121,-1,11.43441882702652,17.13765154310107,1.0898000461244577,1.0703385394407365,214946.1419244737,1695859.5431042092,-8.68808389964675,-8.791023674349775
502,000223,0.7677357653761627,6.97876344619978,8090036.361677141,28.99714339816799,2272.1228877551634,1688.7152782064832,-1,9.789691300989821,9.035311411838896,1.1770298169759408,1.0436332782238236,711872.3704882762,1385113.670381402,-8.05554833637669,-8.766465058045377
502,000192,0.6634172460218724,7.795747492256648,6864639.420632956,22.5306035103391,2066.617384355628,1514.3236328692806,-1,9.861706831861238,10.773578270082677,0.9470494443375995,0.9138964947209689,45648.05405648835,303311.05706074607,-9.177195461351594,-9.354729487358396
502,000186,0.6432265648565585,7.979058217344509,6822223.272983719,21.507717028031813,2026.455789972672,1485.5682468923342,-1,9.560425340367988,19.564967949432116,0.9123476676479592,0.9072605394248101,29840.96029852403,280263.32980682526,-9.359113133731121,-9.386359651040019
502,000136,0.4749708884790178,9.992503306178381,7103194.955482594,13.481998956370205,1659.400299460124,1217.3810214164328,-1,8.283139028563632,7.323569068506266,1.1306158078507225,1.1661161838299978,431082.808813835,6675366.068328823,-8.216893030620495,-8.026978647724961
