galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
442,002688,9.062740614625191,0.44018033589297895,511764410.3128315,475.26154467481564,374.72047197962866,2.74658203125,23.399416322208143,12.76474853867035,13.350957024067778,12.764995177135035,22.57852360551226,12.76474853867035,28.861264526331425,19.678549270814326,12.720487250445046,-0.20155414431599014,668374.3133086084,9058271.826361883,-9.884050329501529,-9.752024731287104
442,002592,8.739689716261168,0.48225232317008626,483873834.861211,449.1473512187856,356.3877955517315,2.5177001953125,24.622461919253748,14.145976400640881,18.35708660214151,16.127492705146054,24.022168247765475,14.145976400640881,31.255796779074736,21.767557990876572,14.903692051261586,-0.15401494728850088,636156.5671610062,9448813.57030709,-9.881168123733369,-9.709354858341161
442,002496,8.416638817903982,0.5267076099759853,457493078.0385265,424.9166998713257,339.24080904358664,2.5177001953125,24.063538015727364,14.0982316054344,17.363352451090034,13.335521389214335,24.0446544160945,14.0982316054344,31.58735156813387,22.491210999427715,13.517224268958746,-0.15854546413198317,873789.1807343214,10834900.665551119,-9.718977864521518,-9.625559593431
442,002400,8.093587919543054,0.5737963613056639,433993378.53198373,400.72191455512996,322.546378605354,2.44140625,24.99778430919874,15.566183917090326,20.686676062539988,15.518139550396699,23.498609679324844,15.566183917090326,28.48118811939125,19.80043424032548,15.40597772641873,-0.16479515532534475,888911.7608231497,8659511.771742497,-9.688624451293038,-9.699989696566343
442,002304,7.7705370211755875,0.6238070016509485,412833828.31712043,377.8109879364007,307.2845584764633,2.3651123046875,24.324782228697572,13.479664870121688,17.151480290885132,13.567356094730608,24.001591050773882,13.479664870121688,29.684402481778886,20.5552480783037,14.745058742853548,-0.1610839046875158,1312053.1811330412,8546177.975502865,-9.497823838368213,-9.684003344091044
442,002208,7.447486122811213,0.6770739239456874,395904500.41845936,356.1748190577031,292.6989711933344,2.13623046875,25.88053481381258,13.841739851225729,15.453873421194833,13.943999630193568,26.309538042513942,13.841739851225729,31.423927472900022,22.256426400524962,16.631907129547514,-0.14937596244764867,1708403.9612349658,10253264.718439458,-9.364999868850251,-9.586728268475504
442,002112,7.124435224445198,0.7339871656777938,374200939.6866579,337.185974825464,281.8804890081533,2.2125244140625,24.6151940885481,11.904116328548165,14.790504496629216,12.095910951530588,25.229391465738683,11.904116328548165,34.68601625663073,23.769637444582408,14.046411132737536,-0.15174153075155977,1031865.3578280999,7165398.071031079,-9.55948184135726,-9.717864551285471
442,002016,6.801384326077633,0.7950046705529936,358589330.31877315,317.06543579818583,268.51676586004953,2.593994140625,22.722755821270287,13.267375148669792,19.73137246814031,13.667871342298149,22.737305173775745,13.267375148669792,27.795703510820925,20.859701385691316,14.014823054543257,-0.17277605435201684,850038.8383811968,2961621.8575586798,-9.625158594023862,-10.083067756531173
442,001920,6.478333427720638,0.8606679887544249,340455847.0003987,297.3615926591813,254.4143165333437,3.0517578125,21.955265596930506,13.894690466417977,17.571432375875112,13.055156211442032,24.022648153710037,13.894690466417977,35.48819384852807,23.891665895566646,16.013685076947482,-0.1628785525425235,1009789.1795866813,5185801.106824087,-9.527830084472333,-9.81724494108999
442,001824,6.155282529356804,0.9316226093398269,332321824.0372719,278.3218134256017,240.37014936066566,3.5858154296875,22.609448015244197,14.760435367030915,19.53994917817495,14.167515698558521,25.986843878486034,14.760435367030915,42.1107819999941,27.529730791430662,15.563320049890109,-0.18964476412876868,1284578.5706145612,10023217.702437226,-9.412798190116556,-9.520551699682894
