galaxyID,timestep,t,dt,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10_old,sSFR_10,sSFR_100_old,sSFR_100
431,3072,10.354944205257900,0.323050898640400,0.2917451296924830,980690310.9244310,3.8459866509127000,2.1000000000000000,6.193698785400630,47.796868021806400,3876734.14943324,23344171.20161690,0.00395306663709046,-9.40306586466620000,0.0238038154772957,-9.6233534249634000
431,2880,9.9,0.4549442052579,0.35,925000000,0.19347610918905700,-1,9.02339077499901,25.139779029735500,4539.709513565790,4539.709513565790,0.00000490779406871977,-12.30911366858050000000,0.00000490779406871977,-13.30911366858050000000
431,2784,9.385791509305080,0.51420849069492,0.40027354710764500,870927894.8781660,2.4941534962671900,1.8,5.7981091058156800,48.894218556116200,1001723.8613867400,13533047.087687600,0.00115018001751669,-9.93923418182404000,0.015538653850995,-9.808586607826460
431,2688,9.062740610652970,0.323050898652110,0.440180336396566,835570122.504463,2.49488734820943,1.75,5.6979901558285000,48.466601910356900,1047125.154641660,9684941.303287120,0.00125318644891598,-9.90198430992250000,0.0115908181042404,-9.9358859095395900
431,2592,8.739689712013490,0.323050898639480,0.4822523237384340,803598832.4806140,2.1108697448536300,1.7,5.690448598142520,49.43514625786340,1113784.7963984400,8569205.671885600,0.00138599603605734,-9.85823801180277000,0.0106635367368983,-9.9720987305277100
431,2400,8.09358791474103,0.64610179727246,0.5737963620265690,740643625.1757560,1.7296948870476900,1.5500000000000000,5.63927594553381,51.535982487393700,969374.645497856,10393037.67628280,0.00130882736655949,-9.88311763281890000,0.0140324406003177,-9.8528667874841200
431,2304,7.75,0.34358791474103,0.62,720000000,0.4394927656737960,-1,10.034563585632300,30.18880204780190,3573.4410440284500,3573.4410440284500,0.00000496311256115063,-12.30424587508830000000,0.00000496311256115063,-13.30424587508830000000
431,2112,7.51,0.24,0.645,705000000,0.19998939547453000,-1,10.757649099803800,32.78236973043010,3263.6170927600800,3263.6170927600800,0.00000462924410320579,-12.33448991796850000000,0.00000462924410320579,-13.33448991796850000000
431,2208,7.447486117472480,0.06251388252752,0.6770739248549440,684633689.79402,1.3757702405635200,1.400000000000000,6.061542288061830,49.489887536616400,1451509.9122471600,9142831.732174110,0.00212012633016039,-9.67363826036514000,0.0133543409687082,-9.8743775393697200
431,2087,7.040307380635830,0.407178736836650,0.7494616046379510,640821266.6512020,1.3264826990303900,-1,6.146390670398460,48.80607943471350,1879961.0686093400,16865606.008934000,0.00293367459296977,-9.53258806033430000,0.0263187364193922,-9.5797349653338600
431,2016,6.61,0.43030738063583,0.81,605000000,0.2061787137180670,-1,11.065981095048400,34.2567074053265,3064.868988968720,3064.868988968720,0.0000050658991553202,-12.2953434597732000000,0.0000050658991553202,-13.2953434597732000000
431,1920,6.43,0.18,0.87,571000000,0.34175322990980500,-1,11.277614500496800,35.77503856931780,2838.034829792240,2838.034829792240,0.0000049702886686379,-12.3036183872112000000,0.0000049702886686379,-13.3036183872112000000
431,1824,6.15528252290553,0.27471747709447,0.9316226108145300,529666694.4441730,1.0674086591995200,-1,6.109063103409240,47.0037196551099,1039696.6288899100,13431935.624258500,0.00196292619452117,-9.70709602944471000,0.025359222630288,-9.595864063588050
431,1739,5.869247873073880,0.28603464983165,0.9994830609015180,506383776.4935470,1.2660776200824000,-1,5.964303515792600,45.70177460282010,890328.38104439,11810132.937595500,0.0017582087388531,-9.7549295656954100,0.0233224946884648,-9.6322249971596900
431,1728,5.832231624271860,0.037016248802020,1.0086446225466400,504160479.7880320,1.1608451819642800,-1,5.94330575566121,45.984141331687400,1677709.418868910,12012033.360712700,0.00332772893975006,-9.47785205640930000,0.023825813093805,-9.622952269446100
431,1632,5.5,0.33223162427186,1.09,478000000,0.343455625498724,-1,12.3114085780041,36.73799941020670,2395.07643164195,2395.07643164195,0.00000501062014987856,-12.30010851944160000000,0.00000501062014987856,-13.30010851944160000000
431,1536,5.186129827004320,0.31387017299568,1.1848732073638800,449897707.09285200,1.343194665933830,1.8,6.398377162245240,44.68291102151630,948072.273776236,9570356.187171930,0.00210730630280934,-9.67627233389755000,0.0212722937598719,-9.6721856782427500
