galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_lossigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
569,003072,10.354944007583036,0.2917451503047003,329939995.64947456,3749.7494950231976,2764.607572424089,3.509521484375,21.42301840615541,11.120300418714127,12.876595069952305,10.76650266711828,19.47122715438983,11.120300418714127,24.09115992805906,16.89183508559468,15.57761783227166,16.82251705307494,10.947835007525594,-0.05713590458014513,240269.6868205306,3502534.6457460537,-10.137735982036958,-9.974052524483424
569,002976,10.031893090379066,0.3262142955402491,317989411.6181383,3568.604772688394,2617.4017274948774,3.35693359375,21.1297807996203,9.555918649663909,11.456978172138657,9.648753202340618,20.23817986502617,9.555918649663909,24.599974114584658,16.950316886077907,15.670632312875895,17.235262528006896,15.012476777776184,-0.07336123261956884,891571.1390280698,3440672.4525975985,-9.552256657601138,-9.965769328791291
569,002880,9.708842173174927,0.36234092414015967,311183297.12116545,3393.9578598075223,2477.2233004192394,3.35693359375,20.94109192126446,13.819282253475846,20.438406754048025,13.509237449082686,21.879539124017235,13.819282253475846,30.436779576178004,20.37881021003802,17.640277764750273,20.392286115257054,14.19199161441994,-0.07920906951214302,446204.32571585214,4509357.139132482,-9.843482501801505,-9.838901645422329
569,002784,9.385791255969286,0.4002735776050274,302303503.8251407,3223.920978784401,2340.5556475753406,3.35693359375,21.244334345892245,13.131012518969225,15.093347108135152,11.22659066442392,21.600200545392624,13.131012518969225,29.025291288264377,18.951935985228694,17.40908553674463,19.156823293719434,12.075397767751827,-0.061353188533221914,550369.4042511499,4924053.855819654,-9.73978889795815,-9.788120386572006
569,002688,9.06274033876618,0.4401803708655734,295773665.35423505,3057.295875321521,2206.6840458260526,3.2806396484375,20.86070046184573,11.01441091782687,14.960881803717452,11.420273510803797,22.42453680434564,11.01441091782687,34.8404013703219,22.66723785486868,20.793482476612727,23.02196214396671,11.560416008055142,-0.105426808163057,178595.99383324114,4639648.386303494,-10.21908779052298,-9.804474434343515
569,002592,8.739689421562458,0.48225236260131277,283221982.26762366,2894.5734978316414,2077.2973323789383,3.2806396484375,21.860433702165203,11.371410098847795,18.230872675325465,11.264547439715578,20.237004556618693,11.371410098847795,26.49369217565679,18.608159977166665,17.33627845040765,18.057663967923276,11.455756977804153,-0.08375380412404587,745382.1612076896,4881122.391345556,-9.579747963254,-9.763607260603916
569,002496,8.416638504369322,0.5267076543563433,272410548.2481367,2737.0802969880106,1952.793161258982,3.204345703125,21.43762904332219,8.869203687896471,12.275128820964461,8.537270725884024,19.42039103280188,8.869203687896471,28.25745370548774,19.375566790375466,16.741773772439892,18.804894801360074,11.172965152833797,-0.06924929739161532,283636.46681985207,4239210.230219413,-9.982461853413197,-9.807938965701386
569,002400,8.093587587164548,0.573796411204055,264084551.53999183,2583.661006614642,1831.606453090145,3.2806396484375,20.48370594040394,10.126185706867709,16.086834865902624,10.006607867049834,18.875268914514592,10.126185706867709,30.441387541077678,20.285220038600396,16.633208945854005,20.12859821614368,10.93244979469899,-0.055950484127498465,99878.10682323815,2225980.93686059,-10.422272694761576,-10.074221555774304
569,002304,7.770536669959758,0.6238070577265765,254550076.51515016,2433.8999043102494,1714.9437725386965,3.2806396484375,21.51317231056794,8.614174458193736,13.615333952361212,8.552137237587655,18.168783853259235,8.614174458193736,28.33651983690076,19.169402067884686,16.03786817926015,19.149009340177518,10.445415923093542,-0.06876284622655339,447176.3259621088,2856384.8741347697,-9.755294428488893,-9.949956507297088
569,002208,7.44748612289279,0.6770739239317929,245833691.47403598,2289.1910064211197,1603.013600315604,3.35693359375,21.577947824438787,8.820699685661257,11.736859639045154,8.619339235121885,17.725525559082534,8.820699685661257,25.963847418606274,17.859061155971133,16.818805341813956,17.879019783410584,9.157279715860174,-0.09697283015886049,157989.54787687003,1344867.736780828,-10.192013046368116,-10.261961827592415
