galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,sigma_star_m,sigma_youngstar_m,sigma_coldgas_m,SFR_10,SFR_100,sSFR_10,sSFR_100
515,2304,7.77053702116601,0.6238070016524770,500054605.43077100,7.774724047406,7.771030239006,7.774772644043,47.95275505098790,39.031392260636000,1.376468935577040,1.3464348765531400,62.623551843397000,78.79913005945610,74.08417781946130,1383254.8792387100,9954607.494064910,-9.558115220618700,-9.700993290766320
515,2208,7.447486122807320,0.6770739239463500,479672459.23418500,7.518119884876,7.513344893201,7.518196105957,46.791387006755100,26.934061710624400,1.3575247958568400,1.3309892192550100,63.93898631381460,72.4358443286228,69.55450911704620,1136954.7165220500,8499065.691287990,-9.625201616199010,-9.751573597809820
515,2112,7.124435224442490,0.7339871656782860,459200824.5454720,3.2754967053744,3.014254222185,3.27545166016,45.066207811155100,37.372575457171300,1.367077604750540,1.3036067947936400,61.840553699407700,60.44529540389720,66.83235161987780,1278036.6610620100,6366906.48704113,-9.555459347278510,-9.85807418793668
515,2016,6.801384326073060,0.7950046705538890,445154247.4697800,7.0220695015306,7.014237725349,7.0220184326172,43.17922437220360,34.14965019304070,1.3845639929600500,1.3592388151886700,59.743099113667600,60.82279254645800,71.77974871214100,1562411.3965460000,11829123.955546500,-9.45471512345902,-9.575557938861590
515,1920,6.478333427710060,0.8606679887566590,427481490.7031870,6.777919314317,6.768254863043,6.777915954590,44.530199949544300,34.73869002843540,1.3178154238773400,1.3108811329400900,62.102419837644600,56.50270883447740,67.29574889354240,758683.0139254090,7029708.789117890,-9.75085695438312,-9.783979980759770
515,1824,6.155282529343520,0.9316226093428630,412033939.0245070,6.532232419415,6.5209653966152,6.532249450684,42.153691472149300,32.8105880443625,1.3053191613725900,1.2922296931390100,58.9069814007238,56.34722444517700,64.60231993061150,667856.0425514550,5782267.6442849400,-9.790250130434170,-9.852834800097210
515,1728,5.832231630978730,1.008644620878420,401080565.96922100,6.311869588510,6.297918031622,6.311836242676,41.4473630627006,37.16388234907250,1.3255817655069600,1.2830305085197400,60.449066886816900,51.91279522643690,63.43510433915480,841037.2256338650,5262854.79253836,-9.678416400325590,-9.882010231546900
515,1632,5.509180732614310,1.0926761522169600,387068025.19023900,6.045939386711,6.029121910601,6.04583740234,38.282880268850900,34.68117566671100,1.3137692142784100,1.3369536691904100,54.17337653400880,60.33920583039140,71.47893009168070,745703.6958297200,9629410.53541719,-9.71522100119008,-9.604187594128970
515,1536,5.186129834261390,1.1848732051909000,365657613.83542800,5.809421576542,5.790195285193,5.8094024658203,40.182559885084900,36.969835844910100,1.2963258860698900,1.305457537376110,60.569683565695200,59.547877756477600,71.0174191085215,624902.9955470730,6912109.351014460,-9.767262014353030,-9.723464020713200
515,1440,4.863078935894280,1.2866713120903900,347758481.4288390,5.580982676472,5.559540200983,5.5809783935547,37.97664243551570,21.780924244383600,1.3799919501294500,1.2886979025676600,53.74541903943220,29.046479410455800,67.37823343024480,1598418.4871744100,5824260.055808340,-9.337587236810900,-9.776036972555310
515,1344,4.540028037523350,1.3998773828622900,325859571.13561800,5.315876227218,5.291317871811,5.3157806396484,37.08418633343400,29.24224186392980,1.2643164830213500,1.3012763033439300,61.596216599258000,50.93801991308340,79.14999218815680,452740.1665764960,6817993.323164400,-9.857181455299370,-9.679373910010780
515,1248,4.21697713915403,1.5268009638194600,298656921.1913770,5.001469700038,4.973736422738,5.0016021728516,39.66795167113990,28.835606701625900,1.446022461579770,1.3716309105177800,68.26336136724680,56.408005256711500,82.94400830644800,3487657.679242520,15269517.330619300,-8.932638732250720,-9.291347274481970
515,1152,3.893926240786200,1.6704464355770900,266613406.16839300,4.693592598610,4.662242205573,4.693603516,38.35656242371240,28.057499133123900,1.3667736519474000,1.3217704616956700,61.980803163558900,45.56282389107560,75.17414377097330,1499393.0571987900,9083701.534400880,-9.249966487777840,-9.46761912727932
515,1056,3.570875342418000,1.8348024101861400,247930329.69902900,4.384238475230,4.351820294083,4.3843841552734,34.879391766899300,28.851788422419000,1.304175213033320,1.31467195038501,57.38518147945490,48.016663770628100,83.69965670941650,763336.9937308350,8581838.655690470,-9.51161334775133,-9.46074931268393
515,960,3.24782444404981,2.025291836229590,226630752.35352200,4.1161397379853,4.0838719082901,4.1162109,35.459869449102300,28.361144412069500,1.256933654669900,1.2718992289318600,51.12636308032060,37.401109453367400,79.57062790466510,462678.4846822900,5469795.889456630,-9.690039535973570,-9.617347719997060
515,864,2.9247735456848300,2.249499240305910,210705342.05468400,2.8081015329631,2.788695622414,2.8082275391,33.5759055187187,12.668079250249800,1.2911665539889600,1.3574921289510300,56.19794729966890,37.41310431534820,98.42571912404230,694018.1311423710,14593419.687773200,-9.482304730007030,-9.159518474108230
515,768,2.601722647327510,2.5184003999926700,183410781.20872900,3.594100297883,3.5603731370924,3.594207763672,29.295333957349600,23.74823443958960,1.2326004744352800,1.3584712871801100,48.522769546445400,32.974510555138900,108.9826011783000,375337.4530927640,15462090.006005600,-9.689002957976500,-9.074156663675610
515,672,2.278671748955150,2.8485597322232400,148922634.74183800,3.2726054428290,2.9274652322568,3.2729339599609,29.608175022201000,25.71973698706770,1.2959116194440500,1.333997666870120,47.723932228970100,30.51043593434330,96.93183317007970,819684.6560057120,12610401.749892900,-9.2593139057236,-9.072231788347080
515,576,1.9556208505841000,3.2663365095068400,104183188.29875000,2.9364344219088,2.608236169885,2.93670654297,26.086687150454200,25.963435866604300,1.322942405466670,1.388677457819710,52.630249517643100,52.841023729916500,120.91625167015500,1265553.8018793800,26810698.151583200,-8.915517031094440,-8.58948952075868
515,480,1.632569952218100,3.8166784197497600,57025392.74275300,2.5899355690310,2.5261802312996,2.5899887084961,23.87246326390110,21.00951420452270,1.24833816405566,1.2649963202362800,46.58373319322420,55.310224571930300,90.54976103131080,675705.6491063330,8198816.451360990,-8.926310735237530,-8.842317121133980
515,384,1.3095190538457200,4.5838016064424,31230504.351673100,2.2394031560224,2.1724024595399,2.2394180297852,24.588404656336200,20.929530047136600,1.2227861297557100,1.1695292773147200,42.82106244377480,31.96485572294510,70.91984305661130,643099.199270223,3429337.9819119000,-8.68630102901273,-8.95936870828997
515,288,0.9864681554742270,5.748642482312600,17791809.408788500,1.855172739993,1.7876161877161,1.8552017211914,16.820413379538900,21.9765097320563,1.1242431141302600,1.1147999118669800,41.901839392397300,35.48436848205650,56.63070077263200,255080.57146061900,2277623.5019018400,-8.84354273636143,-8.892738182157710
515,192,0.6634172571031580,7.795747394203710,10750110.736520000,1.4202322380674,1.35299370544,1.4202308654785,12.025675938046900,16.99662096186460,1.0251074201697700,1.0485220561162900,36.09724382232800,28.528801706906700,45.984506883354200,96634.32656215770,1284961.6720641100,-9.046281513494840,-8.922522764235950
