galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
613,002880,9.70884240807487,0.36234089723391893,340642076.18641293,2995.9165428121228,2689.5087017723195,1.79290771484375,24.318441952245788,11.882614108956272,14.822055724441242,11.321923864096657,26.85324096744112,11.882614108956272,32.27567277812597,21.305233088175314,23.028061922893993,21.64037626870526,29.507939702908295,14.451891368177812,-0.21925690512487736,1086059.9574703171,5855603.487475778,-9.496444489339206,-9.764726630322343
613,002784,9.385791509438544,0.4002735470915779,327570191.04594266,2855.908439474606,2569.6155673203784,1.8310546875,23.37837668289743,13.4366982863585,16.46980717590236,13.495909175500174,24.104418711996978,13.4366982863585,31.032577550948275,21.136989499425507,19.808793653340818,20.85373112137285,18.222467759393705,17.972400528754292,-0.1892293232028242,435109.7038761912,5009225.6566194715,-9.876705604904505,-9.8155337776836
613,002688,9.062740610790792,0.44018033637909265,314655685.0975807,2716.9353317138184,2450.117892699237,2.5177001953125,20.674831924118646,13.733344246996412,16.58509999061108,13.84111659485082,20.356964278923932,13.733344246996412,26.31650555871759,18.914862057579466,16.351808773207395,19.10305954678282,nan,17.851661041271385,-0.19461194080798883,456345.91013650957,3864103.6365932594,-9.83854142019779,-9.910786817019657
613,002592,8.739689712143829,0.482252323720994,305810618.824223,2580.1274614851013,2331.4454055562437,3.204345703125,20.79626255091909,12.35501507993952,16.201940577529644,13.635745358396722,20.66972896731146,12.35501507993952,28.843782142376995,19.48366390937022,16.6284325491954,20.028043475878796,0.0,14.214809034597767,-0.19248744750780858,594005.0364009357,5184284.20801024,-9.71166243431858,-9.770763759572045
613,002496,8.41663881349912,0.5267076105994873,294092069.1133852,2445.5324687373595,2214.3153797374825,3.92913818359375,20.426136317433496,10.982610763992692,11.996442224110314,11.072389925591594,19.602549577570695,10.982610763992692,23.974177729705062,17.30721226818492,15.135655267538386,17.538488428991112,18.476513330264357,13.085011735420533,-0.19784996189030132,581296.5424243851,3629788.427294668,-9.704085573126747,-9.908602001224237
613,002400,8.093587914858796,0.5737963620088888,274562078.0432449,2313.666877260972,2098.849186739043,1.56402587890625,20.716357179160788,12.502899478853976,14.695533117744217,12.96862769854132,19.398262479745863,12.502899478853976,26.312568618123432,18.754622530850348,15.110077909008783,19.039079715762394,0.0,12.284388637480795,-0.21110619202074896,387458.45054587914,3707925.6079290337,-9.850415415789389,-9.869509540856303
613,002304,7.770537016215647,0.6238070024428605,265900380.0164204,2184.9446350515827,1985.5894580516901,1.52587890625,20.235584419238815,12.166646178794647,11.215832305516177,11.137348639870917,19.378736578144096,12.166646178794647,27.097703323203998,19.05940901671176,15.158405632122225,19.036766790628015,20.707137453254976,12.713622437011356,-0.20222394722391113,633483.9300990836,2635183.4005609537,-9.622983355616197,-10.003908111867627
613,002208,7.447486117577714,0.6770739248370213,258912543.27981848,2058.130622799579,1873.993383007294,1.48773193359375,20.544525061307866,11.211632702155857,13.061774017879312,10.767218339072562,19.652938066838583,11.211632702155857,29.566081868463463,19.958476045595546,15.526748800412763,19.863650647043634,15.73049159892287,12.151961519072502,-0.20881794994009642,473757.47519326396,3583545.3557204558,-9.73759701522391,-9.85884018522103
613,002112,7.124435218924672,0.7339871666840234,251260258.36362615,1933.857811513003,1764.1206793266497,1.4495849609375,20.528517166134012,9.18857524612786,10.093636326023724,9.239340828446386,19.047098503447184,9.18857524612786,29.272730298179432,19.936548126736934,14.917231957020782,19.524191528565094,11.072996794731466,11.710262435144694,-0.21224237942632987,766173.8061571904,3718114.404428305,-9.515796501707795,-9.829801053355029
613,002016,6.801384320284957,0.7950046716869998,243143306.76250702,1811.951326203456,1655.886144237812,1.4495849609375,20.95681237248516,13.397615665277732,18.801946315156375,13.977158293140427,20.743998325135788,13.397615665277732,37.65879569618785,23.13721060746227,16.126806257028164,23.44685394938606,2.9258330778052875,11.280912549864471,-0.2262977144728131,396144.6543002453,4647729.795700866,-9.788008519034012,-9.718621447221059
