galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
571,2592,8.739689712072910,0.48225232373048300,325800595.4426540,4.2368347103943900,4.236443687816820,4.2369842529296900,24.875852879962700,24.885558535764000,19.058628561247600,19.06837948861100,23.52741755200540,24.885558535764000,27.34933134150810,27.169095812774400,1.2559264176094500,1.254328644458710,412579.10815047000,4053410.3805188500,-9.897444640963740,-9.905131298341610
571,2496,8.41663881343832,0.5267076106080930,318334397.9587880,4.1082437331791200,4.107894179690040,4.108238220214840,23.310908445200300,23.357804314309000,18.787553867195100,18.781528172244200,22.203050986413100,23.357804314309000,24.14529838908640,24.042611299704400,1.226967114025570,1.211374015701730,301199.23949214300,2533914.1766696000,-10.024029698338800,-10.099091668003300
571,2400,8.093587914796650,0.5737963620182200,312989877.99459500,3.9963272209314100,3.9960838156416600,3.99627685546875,22.757520530614100,22.821963275260300,19.094449340577600,19.09986694354460,21.565667374577800,22.821963275260300,21.85083681270770,21.7062806884706,1.2214775090512600,1.1819380307434000,284690.4777347440,1836339.9952108200,-10.041157351608700,-10.23157719962030
571,2304,7.770537016151860,0.6238070024530460,307916440.752541,3.891224386155130,3.8911639769558400,3.8912200927734400,27.230920717572000,27.24585438951470,19.59478224858750,19.55056061472550,23.749219613224700,27.24585438951470,26.487270384843000,26.339923294558300,1.2591053476672900,1.1898348564485300,434059.85396145800,2012811.8972805600,-9.850883258090410,-10.184629687257100
571,2208,7.447486117516270,0.677073924847487,304376839.3956190,4.8545500571719300,4.777961621131090,4.85443115234375,23.185487523290600,23.1613944594867,19.859526565184400,19.840408327482100,21.349886729154900,23.1613944594867,25.897700546203700,25.67555199574840,1.2094881206970000,1.228147458343600,251080.90822839900,3088460.961764970,-10.08359791213080,-9.993669486860650
571,2112,7.124435218878430,0.7339871666924530,300022912.5465920,3.667508090565850,3.6647513418486300,3.6673736572265600,22.951907697880600,23.00531022269520,18.6192631903496,18.614471537690400,20.353655888458100,23.00531022269520,23.994854577853500,23.78956127822600,1.1881757635465500,1.20344527180616,198935.0255318500,2356841.7103771800,-10.178443168767200,-10.104824007236900
571,2016,6.801384320232250,0.795004671697318,294691681.26535700,3.5732208149922700,3.569895099591960,3.5732269287109400,23.22961980607130,23.271437802926300,16.668344932743100,16.65307998028280,20.19913168464300,23.271437802926300,22.46094094509180,22.296724990780200,1.2241235456577700,1.1993374762846700,297936.39807251900,2262379.6019438200,-9.99524431347441,-10.114802400045600
571,1920,6.478333421583830,0.8606679900498200,290363896.6923170,4.453579265833320,4.392063675206760,4.4536590576171900,21.94429918592390,21.897232864306900,14.107941865063300,14.079454392078500,19.49315949509080,21.897232864306900,19.882901725537100,19.7312072154813,1.1695456593946000,1.154870891718610,163115.7626664200,1385744.1923480500,-10.250446684967400,-10.321259548874800
571,1824,6.155282522945120,0.9316226108054800,284858778.4869800,4.318432184566350,4.262015833166650,4.3184661865234400,22.593312349330200,22.598881252683200,14.333116893103100,14.336293851791400,20.987119089946100,22.598881252683200,25.741936899173300,25.60399420412510,1.1617003914435100,1.1977920965114800,150225.3867856220,2243837.3149929600,-10.277886276777200,-10.103638241583700
571,1728,5.832231624302710,1.0086446225389700,280541524.2487390,4.147616584889770,4.096846523335060,4.147682189941410,23.727954444506200,23.70446309510500,19.31633863330740,19.282484483401400,22.014934420154700,23.70446309510500,24.265155196996100,24.105347448558000,1.2259558740065500,1.166266487120810,308159.7315207110,1586659.3844797400,-9.959221265212810,-10.247513447532800
571,1632,5.509180725669120,1.092676154106710,276675614.0398540,4.0293451597911900,3.98402896634016,4.029388427734380,25.607929265564000,25.593724238844500,16.96689008119150,16.990544976611400,22.83476904708450,25.593724238844500,24.45666037597010,24.29843504027850,1.2323174572453500,1.1583656404524900,332020.60245086100,1458330.912061350,-9.920805849209160,-10.278114800892200
571,1536,5.186129827027200,1.1848732073570300,273842285.6841480,3.8635873651507200,3.823087184458230,3.8636016845703100,24.01299057063610,23.99096526218820,13.438102637098600,13.430562495773900,21.609663311650300,23.99096526218820,21.96690083097940,21.79684679236000,1.1718515391214500,1.1319864170546300,169892.14042225200,1090201.3663332200,-10.207327223146200,-10.399993789091400
