galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_youngstar,sigma_younstar_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
597,2208,7.447486117550200,0.6770739248417080,327831469.7540940,8.25199423857961,7.549642774551320,8.251953125,13.948344759978600,13.961565648244300,25.613441507258500,25.463056860749800,1.2189441438343800,1.184769296739690,273454.60812724000,1872845.0693190200,-10.078765394470800,-10.24314878881830
597,2112,7.124435218912470,0.7339871666862470,322063697.1727170,8.784198588167400,8.483561617413130,8.784255981445310,13.164642315234000,13.145767858661400,25.542901637839400,25.36143880417220,1.1812888412894200,1.1665681090340400,181006.57002585400,1537635.8427959300,-10.2502474353493,-10.321088280175000
597,2016,6.801384320261120,0.7950046716916680,316247594.8776710,8.453630366901910,8.153357212290600,8.453598022460940,19.246822713400300,19.278108542499600,27.292817480471100,27.068131434835100,1.2440968447915500,1.2113705953761900,364826.3855661950,2538174.672061800,-9.937940990762460,-10.095505725247900
597,1920,6.478333421624100,0.8606679900413180,311872354.8389330,7.504686802769310,6.822877340019750,7.5048828125,13.536857737260500,13.527876185131300,33.05142280227280,32.68836001926150,1.3028312830626400,1.260822064371970,702452.3867689400,4408428.940074300,-9.647359987021230,-9.849693034745910
597,1824,6.155282522985780,0.9316226107961860,304665131.3027670,7.253570693536040,6.577758201468750,7.2537994384765600,12.392160900025600,12.386426846738800,36.462134173035100,35.84120590772930,1.371484233602390,1.2838653647354900,1515039.596579930,5730025.750476280,-9.303398768821630,-9.72566617871547
597,1728,5.832231624344570,1.0086446225285600,296511935.92397500,6.986239231492540,6.3194854996538900,6.986236572265630,15.525571616692100,15.523998684526700,32.50109946110190,32.14643353521010,1.2573952735986100,1.2611047315859700,430393.6493421490,4484932.2672979,-9.838176325847150,-9.82028629174347
597,1632,5.509180725696230,1.092676154099340,289881231.00489400,6.731258819386860,6.080428047677570,6.7313385009765600,18.23883326115260,18.220185723401200,29.012227143246900,28.7805749342237,1.2174964907995900,1.1518884039208200,278020.13920915700,1341132.0520939100,-10.01814384045810,-10.33474855495590
597,1536,5.186129827041170,1.1848732073528400,278638136.97238000,6.461313560056990,5.818378700866250,6.461334228515630,16.511477647389900,16.535149532507400,26.36340402449680,26.185271406601400,1.1927508065014200,1.1738331607307300,213393.24306545900,1728997.584618670,-10.115859893982200,-10.207246171112300
597,1440,4.863078928399160,1.2866713145767200,275030717.43093100,6.195571259118070,5.564647419543010,6.1957550048828100,11.61733022708220,11.585491033636100,32.86380684631000,32.57924170489720,1.1861813535758100,1.234328887791880,199036.711632747,3400961.2163681800,-10.140448013793200,-9.907779522320270
597,1344,4.540028029753180,1.3998773857396800,271225634.83120800,5.928350296249890,5.30384500394548,5.9282684326171900,19.093331551035800,19.112880055265200,30.120392160086000,29.907330367439800,1.2123476120231000,1.1659854433130900,267314.14409839000,1595506.187135260,-10.006308795673100,-10.230432241720300
597,1248,4.216977131100530,1.5268009671778000,263384987.10506300,5.697519870696860,5.084571386825910,5.697517395019530,11.061396941055400,11.11988037632200,47.6433079893014,47.2162400564799,1.272366382510930,1.3175299747470200,525855.8926971960,8696922.477442880,-9.699724271677040,-9.481225417745840
597,1152,3.8939262324586900,1.670446439527130,247665230.11134400,5.430648720522940,4.83772003341225,5.430564880371090,16.38668737378630,16.396326330766300,50.51898751927670,50.069796982639900,1.3510252033259700,1.313457917677340,1287910.0950894700,8469165.22161713,-9.283979492605770,-9.466024434540490
597,1056,3.5708753338165100,1.8348024148821200,229559380.35175700,4.777742656730860,4.006662974813100,4.777793884277340,15.477381132703200,15.50027128909150,37.38905420810440,37.28769880667400,0.9983201468345940,1.1679070561230900,25579.769733278000,1703510.4536443100,-10.952998413106600,-10.129550240814500
597,960,3.247824435171630,2.025291841886940,210694954.6983250,4.864643790843610,4.298364626046640,4.864692687988280,12.210446571106700,12.205275989113700,38.74013565558920,38.5402324282593,1.33600439320765,1.2614111172409700,1147069.7463679700,4972407.637629030,-9.264064310593610,-9.627087411256150
597,864,2.924773536522580,2.249499247236230,190232832.7231870,4.192499400803540,3.480385119804750,4.192485809326170,10.944113406786300,10.937141842484200,41.60713816065290,41.409274296084800,1.2472080133310400,1.3033139237211200,437413.4630391530,8216515.906897900,-9.638393329008310,-9.364597774590620
597,768,2.6017226378726900,2.5184004086599600,161585092.06165700,4.215007046269490,3.692564738653980,4.214954376220700,23.656337573417800,23.640348965635400,56.699888139121800,56.07924721853270,1.4085961476965600,1.3344504574049700,2844800.9200798000,12320793.391523200,-8.754349410263350,-9.11776261510349
597,672,2.278671739233870,2.848559743310260,132587796.30953300,1.7829521711219100,1.53393053362744,1.7829132080078100,12.238961024703100,12.231815806664200,49.160834492572500,48.957954956808900,1.2699691039633700,1.3260396468316900,635502.5710549740,12006148.73591310,-9.319386240509460,-9.04309983320114
597,576,1.9556208405929400,3.266336524176000,108691720.02055100,3.471039941964220,3.0450255073324600,3.4710693359375,15.902763440877400,15.878579732641000,53.428782846228000,53.1762363900404,1.2716512132275800,1.2875624652899600,693978.3052438160,8320906.290261340,-9.194850567415910,-9.11602583038601
597,480,1.632569941950530,3.8166784400790400,83505384.01915410,3.0946501807014400,2.70137850841059,3.094654083251950,6.472662883189470,6.508593223851740,50.465724165114100,50.238735232198900,1.2854275608974000,1.272618994179530,894841.0775704540,7723875.174914930,-8.969968565455180,-9.033879231015660
597,384,1.3095190433078800,4.583801636525860,60253937.082853500,2.6781196806197300,2.332236705297610,2.678050994873050,7.658267665712360,7.660075569490360,59.218686955068300,58.906596611859900,1.3844534509851000,1.3281633073409600,3203549.0237978100,16681546.32468790,-8.274354055256680,-8.557749123785320
597,288,0.9864681446648530,5.748642531731550,29571599.336643600,2.218847582091440,1.927454246116160,2.21893310546875,17.08376335939600,17.033041859229500,35.627070094460700,35.2205673266555,1.2786774490520300,1.155463431880230,1275387.6837384200,2971044.6593167400,-8.365232594599120,-8.9979656333835
597,192,0.6634172460208410,7.795747492265770,21041055.113893400,1.7031607364737200,1.471832058340160,1.7031574249267600,14.279111108190700,14.215748162578900,24.90618023992220,24.676318013398200,1.0367459160985200,1.022769006884870,83359.08050988500,705480.6861018860,-9.402114598426600,-9.474582385332970
597,96,0.3403663473769440,12.728289439235500,113889.62852310600,1.1255773352547400,981.1274816652190,1.1255771666765200,0.564839620139987,0.5657300104381920,7.611586971242860,7.304999315584380,0.8116359670596360,0.6530039305462640,104462.24086796200,113116.44264535700,-7.0375248385501300,-8.002958437692580
