galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
468,002784,9.385791513094505,0.400273546651462,828069618.2575496,1758.7397347414455,1080.2880178228077,1.64031982421875,23.705938976751224,17.740722479561747,22.669436058236364,17.8193919298987,27.57188533546606,17.740722479561747,37.3451321548002,25.082276792899222,-0.12899648211584128,4872644.200522427,34084770.7366599,-9.23030215029382,-9.385506473576351
468,002688,9.06274061472311,0.4401803358805654,749251278.424435,1679.0308495668228,1031.3506702236796,1.678466796875,23.696821904270305,15.33015631364971,17.213451252976096,13.925464560763338,26.58184254229157,15.33015631364971,36.25670901922248,24.97793244943548,-0.13606452711358952,2154278.660505719,40259592.273070686,-9.541325613135356,-9.269758120361542
468,002592,8.739689716354592,0.482252323157586,672743884.6748768,1600.525370738458,983.2130149667464,1.678466796875,24.15805551303685,14.216321289147507,18.3059405418502,15.470710225623424,24.06652171378531,14.216321289147507,33.694011381467824,22.73339806514,-0.13338001391508805,1608010.598517758,26850765.886277154,-9.621560851773998,-9.398893080715494
468,002554,8.611815402418381,0.4995510828004175,645125548.4119805,1569.6534074162603,964.379320765783,1.6021728515625,23.965846702385548,16.225141430143093,20.66445369209739,14.931285454062479,23.454724053610484,16.225141430143093,29.91503133818692,21.115323668648678,-0.14467229778060264,2849349.203087495,19980785.029947598,-9.354898563637155,-9.50903169393844
468,002496,8.416638817990007,0.5267076099638085,609972089.2993098,1522.9251947226276,936.0397692769375,1.6021728515625,24.40698461674819,16.494818703474277,16.506501481824053,14.749967066521148,24.79875341332617,16.494818703474277,35.32946411608304,25.04881009587312,-0.16477419351352354,2665184.853765797,25466516.575978328,-9.359582626795426,-9.379340419020142
468,002400,8.093587919622282,0.5737963612937709,553774274.6418709,1446.3490499521504,889.5215637809829,1.678466796875,23.536893669571654,14.162959008516452,15.332479084362545,12.660356849863629,23.35642872427477,14.162959008516452,33.20563593484662,22.73675694620007,-0.13370615694124294,1389330.640254791,23169268.64040299,-9.600527163168888,-9.378420451809546
468,002304,7.770537021252476,0.6238070016386732,500848755.55163705,1369.7896855535437,843.4051759573434,1.64031982421875,23.378138348042114,14.254580542151437,17.565866050356693,13.626901855721584,22.179402070279803,14.254580542151437,30.862596608146625,21.06177134286365,-0.16164257373900212,1823265.1373673822,15308109.066810107,-9.438856771118509,-9.514785051215725
468,002208,7.447486122885952,0.6770739239329578,453828505.9901924,1293.9670084719382,798.1941165733804,1.52587890625,25.19398075875166,14.743997559402995,18.524940994151585,14.91485830356724,24.026356647350553,14.743997559402995,33.33362401347837,24.246784580380307,-0.13817823645939953,1612960.387764121,16564682.831618404,-9.449268069614702,-9.437708646674045
468,002112,7.124435224523031,0.733987165663607,415543988.6168069,1219.0336793256647,752.6968787497931,1.6021728515625,23.144964620197722,13.528192131971764,16.79122416691495,14.562515255574997,22.91627904176668,13.528192131971764,33.15396765267823,23.67239389049125,-0.14502250950950077,1374835.6955534515,12668966.387655143,-9.480366204639887,-9.515875820149631
468,002087,7.0403073864053445,0.749461603566977,407505854.78089535,1199.4937752938356,740.6619986779563,1.7547607421875,22.718566833441795,13.244524935530801,15.440141584523086,14.200475372200273,25.036045349597256,13.244524935530801,40.9126867817941,27.68239417309883,-0.1333367049398066,1285413.2349188386,17328610.517746314,-9.50109108558725,-9.371370112266154
468,002016,6.801384326157949,0.79500467053727,382753663.4140273,1145.9033528458094,707.8899443927587,1.7547607421875,23.85298784552749,14.332238385923468,19.35387150568223,15.228289711543717,27.8152296004311,14.332238385923468,54.96981184609127,33.30594936592438,-0.14558167453226736,1793930.98332612,18137946.7352194,-9.329113625395665,-9.324331233919054
468,001920,6.47833342779302,0.8606679887391468,346758473.6380844,1074.3788853588362,663.1355782307835,1.8310546875,20.994443898172698,17.061991228579124,21.014964815491837,15.793634627722492,21.710385598913412,17.061991228579124,27.941523495767118,20.79628452751353,-0.17072602254720287,678373.4635097032,4821311.440886032,-9.708558231677555,-9.856861896219124
468,001824,6.155282529425963,0.9316226093240182,319477398.9477937,999.9044720216491,620.447867790385,1.2969970703125,29.08757689375498,17.531528134244187,22.167673901914252,16.637592222690543,32.06439648735265,17.531528134244187,31.473973971922717,22.91927771222509,-0.17702978015899523,1057771.9521584355,7561434.354321904,-9.480048092830268,-9.625835953809357
468,001739,5.869247879829316,0.9994830592378214,305772561.194228,932.5699306450089,582.2445455811435,1.79290771484375,22.688721807060578,16.10509427364519,21.808436197938438,15.210968337839148,25.237889541110036,16.10509427364519,44.03809578469958,29.073203880294937,-0.16820325420368587,726413.724589163,10375798.229621135,-9.624214469988248,-9.46937699321772
468,001728,5.832231631057513,1.0086446208588191,303338840.4993202,924.3364493788843,577.4339574589962,1.8310546875,22.588604618152566,11.694190872959126,14.626112596531204,13.306297066221209,23.393800962037265,11.694190872959126,33.96101147098912,23.91435068767806,-0.18011219953125984,2547163.591815803,9169166.557643576,-9.075871183897588,-9.519598160612105
468,001632,5.5091807326905,1.0926761521962247,285974985.61363405,852.1665208068262,533.9019478949537,2.0599365234375,21.06381566932206,11.760433434416802,15.319185468705347,11.484707613521381,18.79721199261243,11.760433434416802,27.203918545481866,20.14255251495505,-0.1773017871034843,265751.1755110565,1767473.539442313,-10.031852852580538,-10.208975126051742
468,001536,5.18612983431861,1.1848732051737636,272068270.5491213,783.2068135390197,492.2319711450144,2.25067138671875,21.287451094015072,13.066542255893747,15.77780979568044,12.920731888565783,19.028535225334235,13.066542255893747,37.9203361247964,23.669931923191825,-0.18378180493112475,467812.6738046716,9315678.745333651,-9.764605912579997,-9.46546339264175
468,001474,4.977492795787827,1.2494155592349352,259320914.54253218,739.5753508551013,465.50166932585535,2.25067138671875,22.253824069061142,12.021534110360566,19.048350051649116,11.622268721879767,18.64604031336362,12.021534110360566,33.87417243539689,22.247027122318656,-0.21135060526266877,594153.247232857,6530264.8719602125,-9.639939069531025,-9.598906747642053
468,001440,4.8630789359483275,1.2866713120724638,254017342.93319425,716.2581897780589,451.0358331657052,2.40325927734375,21.00923242529523,12.526001650796175,16.949503637744947,13.176095839972565,19.829853597094857,12.526001650796175,37.0815059299158,24.58775185140182,-0.1994742200290093,690682.2313029347,7520216.543362311,-9.56558508555495,-9.528633022707673
468,001344,4.540028037573309,1.3998773828437896,238473297.86198395,652.2888104805866,411.25333044255905,2.2125244140625,20.87061170612169,14.148204708713081,18.38546023867163,14.303249205740492,16.38109155526904,14.148204708713081,29.31846382019208,19.431338778129707,-0.2161791931636612,356049.44016675494,2305106.116436034,-9.825929450385408,-10.014748834532783
468,001268,4.284279409691731,1.4990917302436866,229376136.8730287,601.687109581575,380.1987312452717,2.25067138671875,20.228429985929488,10.621215924813475,17.208158078973085,12.021913650878988,17.179400681935103,10.621215924813475,35.303541739697785,23.273094101605786,-0.20643584976211582,600634.1930060511,5340437.3897827715,-9.581938181968432,-9.632971406275026
468,001248,4.216977139196944,1.526800963801564,227499693.5223449,588.6533679676004,372.2789054327375,2.13623046875,21.42487865843836,11.252819769851817,14.995925332489675,11.999062566229643,17.91882352339855,11.252819769851817,37.55510110921646,24.48435273641413,-0.22362587208931853,1131178.7633928175,6712377.47943471,-9.303449572791331,-9.530104444298363
468,001152,3.8939262408237485,1.670446435559276,213915622.58289644,527.5316034731693,334.15316861365045,2.25067138671875,20.58691996737779,13.189426984238438,17.165574936598055,13.332847893042114,18.548075650798925,13.189426984238438,33.813120674387775,21.825096623074003,-0.22780503396852803,826441.6549422088,4656648.016176286,-9.413030304210823,-9.662169090924314
468,001104,3.7324007916367163,1.7497370719996648,210653823.40336034,497.8635734582656,315.20938837446164,2.40325927734375,20.848087431739057,10.627972079463266,17.285835368441617,11.23815417843602,22.484953505331696,10.627972079463266,53.046269760008975,31.495986850167554,-0.23462165573390975,459139.64611905423,15215464.266668249,-9.661624550898225,-9.141284137610258
468,001056,3.570875342450767,1.8348024101682523,197139789.64459902,468.22364010710385,296.46302379393546,2.02178955078125,22.155167657553296,10.755622056011113,14.894440288484907,10.893587527037443,22.63422615008798,10.755622056011113,54.482861343416545,32.11716601206856,-0.20157199336437706,620141.2921428556,11657879.773247248,-9.502283638978255,-9.228154716647175
468,000972,3.2882058063806756,1.9998184850031129,169747862.9858304,415.96840182905595,263.2229634437509,1.56402587890625,21.179934695695437,9.690464390717144,14.797270454116006,9.677516759759069,21.669685839140957,9.690464390717144,38.93139029165533,27.30649884291756,-0.25913749167570055,671866.7494342887,6369487.462180926,-9.402521167039467,-9.425699828428511
