galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_star,sigma_youngstar,SFR_10,SFR_100,sSFR_10,sSFR_100
m11i_r7100,496,11.475419411,2.260796611,0.178236485,832717000.0,4.6599999999999735,51.495445,14.052216,161249.1,2947450.0,-10.713000144243209,-10.451050980203478
m11i_r7100,495,11.450754497,2.285461525,0.180451035,833093000.0,4.939999999999985,50.465378,23.575163,81372.94,4170438.5,-11.010213487215841,-10.300511759999619
m11i_r7100,494,11.426070921,2.310145102,0.18267417,833326400.0,5.0699999999999825,50.053276,32.886898,428803.47,5648217.5,-10.288556850739493,-10.168903728549504
m11i_r7100,493,11.401370581,2.334845441,0.184905648,832502800.0,5.1199999999999815,50.1952,33.045174,720768.0,5696252.0,-10.062590197530401,-10.164796500444451
m11i_r7100,492,11.376654458,2.359561565,0.187145591,832189000.0,5.049999999999983,50.76017,45.348858,136683.94,8742984.0,-10.784504485576162,-9.978562283136432
m11i_r7100,491,11.351920754,2.384295268,0.189393997,831644000.0,4.879999999999987,51.623306,37.041473,735356.5,13156584.0,-10.053439539695628,-9.800794332421226
m11i_r7100,490,11.327172304,2.409043718,0.191650867,830408100.0,4.619999999999992,52.635788,37.306046,932197.56,18718192.0,-9.949783628371812,-9.647027693685706
m11i_r7100,489,11.302405457,2.433810565,0.193916321,829733700.0,4.309999999999981,53.740734,49.33619,976426.4,24273276.0,-9.929299225453557,-9.533810333339238
m11i_r7100,488,11.277623978,2.458592044,0.196190357,827196300.0,4.039999999999987,54.749134,43.27472,3762460.5,25672840.0,-9.342136627673183,-9.50813466270438
m11i_r7100,487,11.252823285,2.483392738,0.198473334,821913860.0,3.919999999999989,55.217087,47.4691,3082819.0,25159708.0,-9.425878274976938,-9.51412070549631
m11i_r7100,486,11.228007146,2.508208877,0.200764894,814906900.0,4.019999999999987,54.73228,35.44289,3292416.5,18372264.0,-9.393593214933999,-9.646945307050478
m11i_r7100,485,11.203176551,2.533039471,0.203065157,808228300.0,4.289999999999981,53.144943,45.898563,1434475.0,11842191.0,-9.750841062911924,-9.834101985245638
m11i_r7100,484,11.178327842,2.557888181,0.20537436,804497860.0,4.699999999999973,50.82786,30.788292,3495971.2,8666948.0,-9.361957038587656,-9.967658700145295
m11i_r7100,483,11.153464798,2.582751225,0.207692266,798952400.0,5.079999999999982,48.976826,39.176468,645985.1,3792442.0,-10.092298379305188,-10.323601949389364
m11i_r7100,482,11.128583756,2.607632266,0.210019231,798691840.0,5.289999999999978,47.97691,41.551334,103345.81,4522010.0,-10.888086363384613,-10.247047728984121
m11i_r7100,481,11.103687571,2.632528451,0.212355137,798652350.0,5.389999999999976,47.794308,43.04418,379062.4,5794556.0,-10.323647059842035,-10.139337610630282
m11i_r7100,480,11.078774441,2.657441582,0.214700222,798206400.0,5.359999999999976,48.309242,40.481606,559357.4,6986757.5,-10.154425837095944,-10.057839535826837
m11i_r7100,479,11.053847225,2.682368797,0.217054129,797697150.0,5.19999999999998,49.56531,53.121853,862749.4,9341859.0,-9.965953388153828,-9.931404733462111
m11i_r7100,478,11.028902255,2.707313767,0.219417453,796787700.0,4.889999999999986,51.514534,55.549698,655630.6,15031201.0,-10.084683396216121,-9.724348945504762
m11i_r7100,477,11.00394146,2.732274562,0.221789956,795597300.0,4.489999999999977,53.951817,45.320187,1253123.5,23136356.0,-9.802699432704092,-9.53639834897856
m11i_r7100,476,10.978965839,2.757250183,0.224171519,794067000.0,4.069999999999986,56.40462,46.821243,1084208.8,29877040.0,-9.864744244382274,-9.424519583738405
m11i_r7100,475,10.953973588,2.782242434,0.226562619,791628400.0,3.7399999999999927,58.110542,41.59317,3058101.5,32001762.0,-9.413069479309609,-9.393347484086322
m11i_r7100,474,10.92896758,2.807248443,0.228962779,785192960.0,3.6099999999999954,58.15227,44.483826,3948067.5,25468988.0,-9.298591827901543,-9.48896470829348
m11i_r7100,473,10.903944136,2.832271887,0.231372595,775815300.0,3.779999999999992,56.24808,41.036465,4728365.5,15887682.0,-9.21504729802227,-9.688697799298462
m11i_r7100,472,10.87890707,2.857308952,0.23379159,767070700.0,4.079999999999986,53.3516,35.338024,4749389.0,7315981.5,-9.208197663479755,-10.020562806925735
m11i_r7100,471,10.853852702,2.88236332,0.236220479,761709400.0,4.479999999999977,50.61319,26.653542,174138.56,2069217.5,-10.640894346353239,-10.565983158712346
