galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
m11h_r7100,315,6.820913962,6.91530206,0.784090638,1634446200.0,6.40869140625,30.056577682495117,20.359117319327844,21.980016708374023,14.809553494278148,18.178012585618426,19.64513972206738,5696230.0,31925576.0,-9.457783115144688,-9.709231890358758
m11h_r7100,314,6.794820075,6.941395947,0.789173722,1622551700.0,6.40869140625,30.71293067932129,19.925036746873978,19.471370697021484,15.073801652105182,17.928930656096124,19.799754129566487,3170502.8,34558396.0,-9.70907040421745,-9.671644961587228
m11h_r7100,313,6.76873215,6.967483872,0.794285774,1617588600.0,6.103515625,30.78791618347168,20.38322331733759,26.561479568481445,20.276339100655644,18.19092262975206,20.069958387114582,2210603.0,39398204.0,-9.864357324637165,-9.613391655102797
m11h_r7100,312,6.742651372,6.993564651,0.799426913,1612448900.0,6.103515625,29.89070701599121,19.69059189774089,17.105926513671875,13.911748612210221,20.604676326389686,20.542306292107398,3081982.0,43616244.0,-9.718655861316014,-9.567837695541852
m11h_r7100,311,6.716575996,7.019640026,0.804597855,1607511400.0,6.40869140625,29.577882766723633,19.950107260985867,25.685420989990234,16.758205245509068,20.91654232847946,20.594776962864742,6776253.0,44528776.0,-9.375164455419764,-9.557513310503623
m11h_r7100,310,6.690509161,7.045706861,0.809798121,1591592600.0,6.40869140625,29.986173629760742,20.233196175032873,29.723112106323242,18.340101174960004,22.39974056754337,20.710590302348564,4479702.5,41181628.0,-9.550582731535393,-9.587128393474023
m11h_r7100,309,6.664447175,7.071768848,0.815028906,1582796000.0,6.40869140625,30.222105026245117,20.251821990515975,22.834949493408203,15.250988962629338,19.841615227488454,20.784823515793086,5481983.0,43211660.0,-9.46048726840919,-9.563824002541958
m11h_r7100,308,6.638393174,7.097822848,0.82028985,1573438700.0,6.103515625,30.459514617919922,20.12306890468666,29.074716567993164,17.469484773580746,20.554925248102194,21.45978369500046,2808534.8,48693628.0,-9.748370031538593,-9.509377699723162
m11h_r7100,307,6.612345423,7.1238706,0.825581431,1566454800.0,6.103515625,30.554100036621094,21.066517999521153,25.83978843688965,15.810359221477606,18.9623627630508,21.64739289305519,5557855.0,48215730.0,-9.450010651217235,-9.511729134934283
m11h_r7100,306,6.586305108,7.149910914,0.830904007,1553818800.0,6.103515625,30.071887969970703,20.182026785318058,32.57810974121094,21.147700631023945,19.466411587164004,21.64999478497439,4857298.0,41162044.0,-9.50500560967042,-9.576903425793777
m11h_r7100,305,6.560274394,7.175941629,0.836257219,1543629600.0,6.103515625,30.00212860107422,20.37401756601391,21.56787872314453,15.295637410916115,18.005061568756197,21.19398192907842,7614450.5,36629344.0,-9.306904521066471,-9.624713947932603
m11h_r7100,304,6.534249596,7.201966426,0.841642261,1527152100.0,6.256103515625,30.152212142944336,19.868546253024487,22.697296142578125,16.491807452847596,18.054847388500093,21.00366915425181,3604005.0,23196256.0,-9.627096916842921,-9.818464408575757
m11h_r7100,303,6.508234829,7.227981194,0.847058654,1521584900.0,6.40869140625,29.854598999023438,20.196469939099195,22.038558959960938,16.07452492295922,19.93089012565163,21.24358441150402,3292387.2,21148508.0,-9.664785277410191,-9.857016454718666
m11h_r7100,302,6.482226412,7.25398961,0.852507353,1515843000.0,6.40869140625,29.467666625976562,19.731848210481726,22.92205238342285,17.28736316268076,20.047941666781533,21.359727310878675,2632001.0,18726208.0,-9.760368156567933,-9.90820436354503
m11h_r7100,301,6.456227484,7.279988538,0.857988119,1510699800.0,6.7138671875,29.381147384643555,19.527674798082643,18.284027099609375,12.511841286117473,16.530441484169085,21.50499456873041,1688594.0,19689020.0,-9.951652923032292,-9.884954064683704
m11h_r7100,300,6.430236318,7.305979704,0.863501549,1508340600.0,6.7138671875,29.276220321655273,20.009094541001517,18.313234329223633,11.025370487388106,15.1422935700141,21.732747625745695,2311348.0,26535220.0,-9.814634084985013,-9.754676730753147
m11h_r7100,299,6.404254106,7.331961916,0.869047761,1505300500.0,6.40869140625,29.568405151367188,19.395198454880436,25.48944091796875,13.701857939670811,16.604334037387012,21.861039434128642,2245341.5,31754786.0,-9.82634079674286,-9.675814009803318
m11h_r7100,298,6.378283012,7.357933011,0.874626756,1502014700.0,6.40869140625,30.18520164489746,19.767480723759885,23.16941261291504,13.690962783939256,18.141662445796143,22.01396196403156,3169444.5,36866564.0,-9.675691037585423,-9.610041526029212
m11h_r7100,297,6.352319367,7.383896655,0.880239606,1494819600.0,6.40869140625,30.49344253540039,20.624720839721185,34.15659713745117,19.702913650352215,16.114190507045077,22.029352741665853,4482404.5,35292548.0,-9.52307773355496,-9.626905764961371
m11h_r7100,296,6.32636631,7.409849712,0.885885835,1486117400.0,6.40869140625,30.3361759185791,20.46563034458474,23.634029388427734,14.457210850464518,16.725802966202764,22.502693529217787,4619117.5,31826030.0,-9.507494102207628,-9.66927064425416
m11h_r7100,295,6.30042212,7.435793902,0.891566396,1478000500.0,6.40869140625,30.28905487060547,19.753081272257198,30.2003116607666,17.701696517995597,17.397190695608728,22.53631977541327,4374477.0,30256442.0,-9.528748447052767,-9.688856728583954
m11h_r7100,294,6.274489933,7.461726089,0.897280812,1469201800.0,6.40869140625,30.521936416625977,20.225735922450447,18.612775802612305,13.767323497386167,16.97757246495417,22.805593264496185,2835571.0,32262472.0,-9.714440923308079,-9.658383808750889
m11h_r7100,293,6.24856609,7.487649932,0.903030276,1464229100.0,6.40869140625,30.693832397460938,19.68436799282734,26.27318000793457,18.335890576699033,17.15954212628934,23.495517487155283,3376859.0,38533412.0,-9.637096112533294,-9.579771573691437
m11h_r7100,292,6.222654698,7.513561325,0.908814311,1459358000.0,6.40869140625,30.319664001464844,20.058774000164593,23.21506118774414,15.836083177296405,18.4342340907982,23.77221287045827,3321221.5,37954404.0,-9.642863988237913,-9.5848996528468
m11h_r7100,291,6.196751132,7.539464891,0.914634228,1451969400.0,6.40869140625,29.684917449951172,19.845546962325763,29.189773559570312,16.254055432354477,16.517260737471986,23.66170843070247,6548904.0,34015936.0,-9.345788841995374,-9.630275040442013
m11h_r7100,290,6.170859498,7.565356524,0.92048955,1441639300.0,6.7138671875,29.252450942993164,19.375873687534522,28.145769119262695,16.3544167490261,16.963699963607752,23.453100418101933,6884604.0,31401488.0,-9.320977646888343,-9.661906383569024
m11h_r7100,289,6.144980992,7.591235031,0.926380277,1429712000.0,6.561279296875,29.302732467651367,19.49853676167099,24.466297149658203,14.604428465662036,16.40322190942676,23.54098877925569,2481021.5,29111544.0,-9.760618034563517,-9.691183322464026
m11h_r7100,288,6.119111965,7.617104057,0.932307839,1425670100.0,6.40869140625,29.707876205444336,19.442229478353397,22.35774040222168,15.022871926840448,16.346723205850715,24.090820217978248,2286380.5,34920080.0,-9.79487054735292,-9.610943824840751
m11h_r7100,287,6.093256521,7.642959501,0.938271403,1422767500.0,6.103515625,30.3056583404541,20.08252662019828,26.22541046142578,16.24498906473816,17.570835975083813,24.645205290865572,3642015.0,39553700.0,-9.591792202312618,-9.555946817207355
m11h_r7100,286,6.067411017,7.668805006,0.944272399,1414677500.0,6.103515625,29.756593704223633,20.164432574331084,33.472564697265625,20.45102488105178,18.07705161299501,24.542521165515808,5164919.0,38053824.0,-9.437593932507049,-9.570259142271917
m11h_r7100,285,6.041578585,7.694637437,0.950310469,1405293700.0,6.103515625,29.38912582397461,20.491410269998866,24.506887435913086,16.159518216207367,14.501639575924168,24.449959492000232,4720627.0,30881252.0,-9.473767412025136,-9.658072198704827
m11h_r7100,284,6.015757524,7.720458498,0.956386328,1394066300.0,6.40869140625,29.290283203125,19.242702229082497,26.105192184448242,15.660138516074776,16.322085917005992,24.675198469053292,4209549.5,21984190.0,-9.52004780924145,-9.8021729611681
m11h_r7100,283,5.989949033,7.746266989,0.962500215,1386575100.0,6.7138671875,29.247602462768555,19.34643280942692,22.41440773010254,15.432961607158264,16.541602822665773,24.756769714800207,3446984.0,14966314.0,-9.60450413063055,-9.966828545485361
m11h_r7100,282,5.964155274,7.772060749,0.968651891,1380355300.0,7.01904296875,29.483009338378906,19.58295012273369,20.537172317504883,14.009143024233175,17.80443845217183,24.824417513612786,1412896.8,10984512.0,-9.989880469763936,-10.09921012827622
m11h_r7100,281,5.938372618,7.797843404,0.974842787,1378288500.0,6.866455078125,29.938861846923828,19.35408760635687,15.86780834197998,10.544783297625141,17.45950259864128,25.12244873369675,1323141.0,12722818.0,-10.017734009259733,-10.03475682169568
m11h_r7100,280,5.912604196,7.823611826,0.981072545,1376751700.0,6.40869140625,30.660064697265625,20.113421392997925,27.458066940307617,14.822163777256495,16.304261775028372,25.614939634252988,484973.1,23346620.0,-10.453137990632092,-9.77063162069815
m11h_r7100,279,5.886848313,7.849367709,0.987341881,1376993200.0,5.950927734375,30.943553924560547,20.480308911880687,33.66199493408203,18.22455923434321,22.176919048552318,26.601984749952102,680735.8,30533448.0,-10.305953181655395,-9.654155930528605
m11h_r7100,278,5.861108097,7.875107926,0.993650675,1374183700.0,5.79833984375,30.092824935913086,20.643901275659644,47.90108108520508,18.452497966428414,19.578268675354188,27.165636595337347,2636047.0,31702348.0,-9.717091637149421,-9.63695335753429
m11h_r7100,277,5.835379928,7.900836094,1.0,1371622100.0,6.103515625,29.36162757873535,20.125892377483215,26.750093460083008,16.746131351467724,30.875504531128964,27.359492803555696,8488231.0,36515990.0,-9.208417297908392,-9.574751384658443
m11h_r7100,276,5.809748242,7.92646778,1.006369352,1359059200.0,6.7138671875,29.39221954345703,19.804023325041836,20.819608688354492,14.392273449194384,18.189018532777915,27.573617517671973,4680461.0,27153948.0,-9.462949743984746,-9.699405392824623
m11h_r7100,275,5.784130914,7.952085108,1.012779474,1351893500.0,7.01904296875,29.677650451660156,19.079187078061047,26.934242248535156,16.953517314022086,17.439521878661893,28.381051293677842,2246604.8,40543196.0,-9.779415808437648,-9.523024500291273
m11h_r7100,274,5.758528179,7.977687843,1.019230843,1348043900.0,6.866455078125,30.219388961791992,20.564230749994977,31.6959171295166,17.594990090572196,19.993386468786042,29.095573771158513,2106813.0,43781200.0,-9.806078047334912,-9.488416375840943
m11h_r7100,273,5.732940274,8.003275748,1.025723457,1338257500.0,6.40869140625,30.974706649780273,20.729022630161033,28.413366317749023,15.484946142713824,18.859034664094146,29.565364943563335,2237669.5,44731670.0,-9.776743755294248,-9.475924565937653
