galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_star,sigma_youngstar,SFR_10,SFR_100,sSFR_10,sSFR_100
m11e_r7100,562,13.064045664,0.672170358,0.048413992,1602820500.0,17.360000000000177,81.54415,86.82358,1343218.1,17933292.0,-10.076738339568708,-9.951224863013932
m11e_r7100,561,13.040577678,0.695638344,0.050167203,1599091100.0,17.460000000000193,79.85663,70.00405,1831412.5,17244896.0,-9.941087024478149,-9.967212618962236
m11e_r7100,560,13.017090587,0.719125435,0.051926374,1596192800.0,17.600000000000215,78.26375,96.414505,1928736.0,18586404.0,-9.917812552088272,-9.933889965903886
m11e_r7100,559,12.99358529,0.742630732,0.053691268,1591861200.0,17.5100000000002,76.93846,66.76678,2087633.2,17607972.0,-9.88225100517634,-9.95619587154262
m11e_r7100,558,12.970060047,0.766155975,0.055462241,1588600000.0,17.670000000000226,76.23391,86.80919,1823704.5,17325960.0,-9.940060105980576,-9.962317268290214
m11e_r7100,557,12.946517521,0.789698501,0.057239056,1585049900.0,17.78000000000026,75.8861,57.609753,1489344.0,17846334.0,-10.02704790687617,-9.948493910334054
m11e_r7100,556,12.922954207,0.813261815,0.05902195,1581998300.0,18.020000000000298,75.73878,64.73401,2664229.8,16709510.0,-9.773634348834236,-9.976242307795818
m11e_r7100,555,12.899372772,0.836843251,0.060810804,1578192000.0,18.240000000000332,75.82273,44.379745,2432086.0,13693304.0,-9.812180909791026,-10.061651587697488
m11e_r7100,554,12.87577147,0.860444553,0.062605739,1574994200.0,18.41000000000036,75.73349,72.80676,2169392.8,13121390.0,-9.860940767764982,-10.079299108213846
m11e_r7100,553,12.852151206,0.884064817,0.064406872,1571014800.0,18.500000000000373,75.03326,57.623657,2061593.2,13203337.0,-9.881977288385215,-10.07549656368634
m11e_r7100,552,12.828513772,0.90770225,0.066213965,1568242400.0,18.620000000000392,74.59278,66.8403,1076758.0,12895196.0,-10.163295093274048,-10.084985252837658
m11e_r7100,551,12.804855652,0.93136037,0.068027258,1567166700.0,18.770000000000408,74.3555,45.636658,779860.8,14183584.0,-10.303098102631118,-10.0433292154438
m11e_r7100,550,12.781180411,0.955035611,0.06984663,1565122200.0,19.000000000000444,73.85409,53.730335,1643687.4,14180450.0,-9.978729025549915,-10.042858232050875
m11e_r7100,549,12.757484527,0.978731495,0.07167232,1562040800.0,19.270000000000486,73.18409,47.492798,2803447.0,11980642.0,-9.746000032171992,-10.115212291243934
m11e_r7100,548,12.733770684,1.002445338,0.07350421,1558098400.0,19.470000000000518,72.483955,51.48237,1178705.0,8725316.0,-10.121189764727024,-10.251813725993157
m11e_r7100,547,12.710037131,1.026178891,0.075342536,1556396300.0,19.74000000000056,71.7181,52.313667,1821011.1,8113122.5,-9.931807587328363,-10.282932152904257
m11e_r7100,546,12.68628478,1.049931242,0.077187061,1553849100.0,19.960000000000463,71.161964,61.73518,1141629.8,7132856.0,-10.13388355958779,-10.338145380768282
m11e_r7100,545,12.662515436,1.073700586,0.079037786,1552499700.0,20.110000000000486,70.76597,81.891464,449600.2,6929501.5,-10.538205044605842,-10.35032953517077
m11e_r7100,544,12.638725566,1.097490456,0.080895066,1551935900.0,20.310000000000517,70.54759,70.14083,719627.94,9276159.0,-10.333765756438456,-10.223505587534724
m11e_r7100,543,12.614917867,1.121298155,0.082758665,1551087900.0,20.480000000000544,70.54859,72.84058,1018051.3,12603096.0,-10.182866733945101,-10.09015915772936
m11e_r7100,542,12.591090582,1.14512544,0.084628701,1549529000.0,20.570000000000558,70.593025,73.73253,874492.4,17042594.0,-10.248443670351733,-9.95866399935148
m11e_r7100,541,12.567246415,1.168969607,0.086505175,1548422400.0,20.70000000000058,70.522964,57.60199,864094.8,20471592.0,-10.253328047439606,-9.878737827891117
m11e_r7100,540,12.543381824,1.192834198,0.088388205,1546297900.0,20.840000000000465,70.47574,60.63564,2072655.9,19910364.0,-9.872765951961767,-9.89021395387661
m11e_r7100,539,12.51950041,1.216715613,0.090277672,1542766000.0,21.020000000000493,70.38998,58.02599,3337291.5,17316364.0,-9.664905903339006,-9.949843339299699
m11e_r7100,538,12.495598624,1.240617398,0.092173934,1536535300.0,21.150000000000514,69.9612,70.041145,3163282.8,12536522.0,-9.68640452789644,-10.088365473816024
m11e_r7100,537,12.471677388,1.264538634,0.094076753,1530800600.0,21.240000000000528,69.391075,84.69518,1313663.8,7272057.5,-10.066434419220025,-10.323261330938669
m11e_r7100,536,12.447740314,1.288475708,0.095986009,1528912900.0,21.25000000000053,69.04824,51.038628,686969.7,6465063.0,-10.347445169577986,-10.373809982540187
m11e_r7100,535,12.423782953,1.312433069,0.097902179,1528113000.0,21.370000000000548,68.61506,62.68146,727254.7,6060634.0,-10.322468948039338,-10.401637419321503
m11e_r7100,534,12.399808923,1.3364071,0.099824786,1526860200.0,21.470000000000564,68.14082,47.003452,1071476.4,6031407.0,-10.15381666358574,-10.403380627604427
m11e_r7100,533,12.375814664,1.360401359,0.101754427,1526068500.0,21.610000000000586,67.83295,68.2663,499816.44,8295636.0,-10.484763487659992,-10.264724334747916
m11e_r7100,532,12.3518029,1.384413122,0.103690624,1525084800.0,21.7100000000006,68.152405,89.5922,497908.84,10224178.0,-10.48614415244309,-10.173665590810185
m11e_r7100,531,12.327771867,1.408444155,0.105633855,1524960400.0,21.680000000000597,68.98178,46.14875,913419.7,13946806.0,-10.222588193572674,-10.038783801651617
m11e_r7100,530,12.303722495,1.432493527,0.10758388,1524090800.0,21.7100000000006,70.02442,55.49156,1319846.8,13937377.0,-10.062487320495665,-10.038829780165232
m11e_r7100,529,12.27965662,1.456559403,0.109540582,1521656800.0,21.800000000000615,70.36641,50.86003,1904768.8,12868456.0,-9.902474462920786,-10.072790278318925
m11e_r7100,528,12.25557067,1.480645353,0.111504436,1518927600.0,21.97000000000051,69.753265,38.115665,2960464.0,11364632.0,-9.710177293875988,-10.125981700865745
