Mgas,Mbar
15926247316.535103,23762034606.620537
16449382769.340721,22386378276.003925
11581079357.179176,20812156983.671627
18379706820.92558,25589294239.944397
7146891269.617386,18394299662.919037
8563341474.20754,11232940757.022636
9001229696.67108,19000706632.823338
15499893890.341425,23118073434.65393
19338967490.996315,25416531231.20899
9448394847.304571,20154378937.171394
8202715305.168833,18878829527.079346
1464533108.2788017,17256223994.503643
3084657750.2821236,5145322057.023602
10515001918.849085,12583746840.089918
16973272.973652698,14745520933.393225
2848433060.2864637,7726558614.727368
5007790803.538504,14455342740.257671
12904536575.002495,21779299237.636337
763564640.859118,15297999554.326029
12026515928.880363,20981671608.27204
17268517939.124866,22072323082.001907
11510143269.854721,20637587542.05419
13080998285.684687,18145723018.795345
15787116322.467527,20109719541.286633
8037431598.502035,18162708615.810844
0.0,14919596145.322088
8440095726.991499,18443267642.04304
10332305443.135231,19587639331.01828
11514435443.212893,20369377723.540535
6572382528.694018,18205915653.485714
4172671259.317698,10407600865.803186
15698257011.00838,21621683040.27832
11778463022.611675,18339354506.58794
4413817641.318404,15196207137.676968
15390530312.162418,21179692887.558113
33504512.342081092,16089957843.159664
12890832212.987467,18584719753.146835
5098417381.757944,15088018485.616524
13941012472.526606,19195419308.745323
15875434109.03275,18306140441.605473
0.0,12960894520.698252
2361578135.469488,10858667399.436543
4251106.506247826,13693344738.347681
5609760.607343251,17832739879.98697
7167848141.451784,16341190795.674845
8408091251.614969,15521565565.611057
13883193653.20655,19948011287.944862
11067467650.975206,15862708287.682693
12644074422.752016,15993180672.513279
10245420565.029926,16370710012.171005
11505631574.519482,19052649623.09965
9635953635.912731,16872335596.669418
5263437550.591424,7723589356.732978
13093923007.942122,18322284848.110783
15805693207.76965,19830210229.196438
8845915773.371782,17451021787.090153
6569442221.489336,8757898756.7555
11501894011.253351,16544441649.62906
13091194453.006605,17791846045.929512
18859946810.739567,24118959071.143387
0.0,12063516562.769388
11198202608.955421,16508754654.384632
9395257896.065516,16106696924.352562
7033786768.779976,14114522316.261683
5573320986.751929,10551742124.133636
5949406964.353338,16820468160.660904
16783117698.847382,19163684079.578815
0.0,15766815859.715992
2646115538.11628,12903823166.406181
13158194322.67355,17040415179.704428
12482962079.49975,15966960018.158812
9002690013.41604,14656735921.961794
10826386491.786528,13581504739.614445
9463824513.303219,14773710764.8441
15280032110.738588,18303547528.831646
9563668026.95318,12026093828.945436
5460138347.012604,17951575507.560448
5348861684.428483,6627704540.678965
11198226653.86226,14029532141.523018
0.0,13623575785.739252
10828302451.090227,13926318875.409138
10176538954.601362,13592656632.500925
10299113173.422798,15089083045.3574
2549422209.1322985,11748556295.921448
8465710231.245556,12354685620.376886
4655225826.860515,10565188950.921722
13886528844.214485,16444944790.530369
14535735406.126295,17552580053.278744
5743416248.830876,13151294856.736362
13118620371.57162,16168889413.439087
0.0,11087113488.735666
12269513582.944302,14763322875.241785
15825560948.406641,17795986743.428715
662647176.3350784,7852245629.556611
12598378761.609676,15831980579.257404
1288456426.925316,10709566261.907326
6481341938.907419,9407033605.214867
7797927065.153326,11616002487.493187
1576779008.4339032,4020577477.1279025
11068860369.78723,13466908903.303648
7967821802.882453,8842470974.15472
9181823021.78569,14575633402.579403
0.0,13632559322.398142
13944269445.749985,16083953986.660088
14754188553.276812,17375317365.245697
10075461664.064417,13914408354.082382
12156625928.526535,15177182766.538689
11433998082.177921,13656982923.712633
4985825838.961906,12780102171.755024
8174680787.843218,12864100266.242039
10493125836.216667,13072933803.609394
12468667601.061745,15142968688.367163
0.0,14104283336.097198
2657947983.939434,8632508644.688503
11247852890.471107,13818964133.55972
7210999028.463289,9611568493.128462
14503923978.422804,15989588334.146217
10608579648.773497,14039228017.98383
5716648311.440434,12518818999.012054
12560451107.04807,14546153363.39251
8621784899.711708,12392494192.813955
10417407547.456116,12428419736.10991
6515286932.858441,9784069150.48918
10076312856.48348,12373099160.643402
13722688231.628258,15802970690.17746
8586928141.865899,10379624106.591316
11501324170.875755,13449194907.373484
1105711169.5392685,3789417364.3604803
5434784417.757691,6343457878.20876
0.0,13038671061.77186
5759952256.481406,10377113604.263363
9091680820.652355,12697450432.006142
1150450423.9486947,11016555211.714855
5522422757.238685,10788847234.152626
9104947277.088633,12120011330.940775
2424922608.0936327,11006942135.450165
5575909863.880181,7639722068.989998
3473978896.7383165,8929635910.927502
905008765.0393612,8520309813.570306
11037186515.754284,13107791409.265623
5213952949.093229,10338513639.882765
5843773788.753598,10942745489.886646
27874715.48385545,8335666322.676468
12817577739.735023,13991866659.63955
2843278469.107857,11221749658.832159
5501004429.239034,7090860412.568094
4885367887.2781,10047624728.415495
3054004539.9649973,5074818687.952103
7434930537.356534,11314931050.574203
16279619698.541758,17220160681.318405
10983860447.803692,12580750769.440338
10023702790.249817,12834385715.799377
3765189726.7997494,7440307493.253979
7276567948.690338,10252721510.271008
12714792917.511675,13688062389.08439
6776623990.038372,10133264272.291916
9474978097.579382,12348160041.891853
12498303709.150621,13686092955.600424
8872057770.191227,11174458759.361752
13477368849.379393,14971468610.638985
10623891718.316576,11407385419.05004
8869157893.009216,10791533126.218601
10981951146.148603,13154382880.730673
2142822771.55174,10201643920.17826
8246283303.750679,9351009509.137377
10987818814.780874,12433517120.127028
9907432434.282104,11249153023.405937
10926425873.742191,12374015484.74049
2491230319.6992607,4058954268.09588
7590325209.195435,9975520881.037237
7873999289.500015,10019187950.689726
1262911169.3852355,3558722214.6367226
3593303414.622235,8344633358.638063
5733847444.692554,8019946703.759777
542628499.9286286,5942332670.69703
7871257337.048078,10264119463.700401
4191355201.4292927,7784565272.620593
6382307250.867269,8259682044.5452175
6409429902.42904,7893311061.328057
7147960834.270992,9176472879.652172
6613056295.503997,8282589632.995367
8828448652.025116,10374889352.088224
7030327453.794162,9014776294.909353
573074165.4728773,6529985216.380752
7213560441.251406,9516841889.257946
0.0,9093647597.769367
3315277294.1766562,5385893133.166205
6032098461.954227,8179604571.540194
3466430745.8850718,9100183787.968369
3803280875.5133944,9157056695.296043
8794401766.650558,10176128126.192633
3619591928.2606006,7220112639.747793
5649494479.964859,8108458962.254747
0.0,8909254694.251574
6488097967.836741,10234977571.490978
7944845790.117611,8975281367.726334
