Mvir,Mstar
33115012209.90887,13632559322.398142
109594167050.5238,2139684540.9101024
103255033026.12743,2621128811.9688845
96692962921.48413,3838946690.017965
101136241494.97719,3020556838.0121546
108409220160.48444,2222984841.5347123
71235598584.80585,7794276332.793118
91088905272.5858,4689419478.398822
104757578167.7906,2579807967.3927274
101996162755.04169,2674301087.3054185
25405584368.864315,14104283336.097198
84762181965.41968,5974560660.749068
101501530607.25935,2571111243.0886106
104857835000.9696,2400569464.665172
107337872343.55682,1485664355.7234137
93209707449.1817,3430648369.2103333
71662633476.76491,6802170687.571621
102586441786.97424,1985702256.344438
90508117713.03256,3770709293.102247
103515956655.98564,2011012188.653794
95730921253.1497,3268782217.6307383
100707024748.77289,2296786304.159922
100032079287.52748,2080282458.5492022
105668274731.71709,1792695964.7254176
101599342962.95692,1947870736.4977283
103033692887.42387,2683706194.821212
112931036025.53368,908673460.4510686
23603166599.663387,13038671061.77186
85484142943.1516,4617161347.781956
87576622756.37233,3605769611.3537855
48203023425.47428,9866104787.766161
78305389776.77548,5266424476.913941
88534166846.88625,3015064053.852143
52353496228.92816,8582019527.356531
97974517065.89113,2063812205.1098168
73247703426.78494,5455657014.189186
60435428320.19916,7615301048.530945
92532914617.10938,2070604893.51134
73978096206.24821,5124560690.7895355
72957490536.02953,5098971701.133048
54927000625.42065,8307791607.192613
98228095788.69342,1174288919.904525
51372393499.00772,8378471189.724301
99269194974.88039,1589855983.3290606
72227837368.43745,5162256841.137395
96931373031.83972,2020814147.9871054
77802387225.52687,3880000513.2176704
95008578816.09984,940540982.7766479
92288321734.86873,1596890321.6366458
83580258922.57085,2810682925.5495615
80614282011.02594,3675117766.45423
82828571364.92262,2976153561.5806694
95395824617.40787,973269471.5727149
79077303885.06029,3356640282.2535443
80600829933.51373,2873181944.3124723
91929546973.54941,1187789246.4498029
84881795009.04317,2302400989.170525
87927419229.09895,1494099761.2595916
93499995432.31772,783493700.7334625
85147854979.76192,1922375233.209385
81384673958.42627,2172431734.582069
44186585450.727745,8058821148.62652
91311042003.5388,1104726205.3866985
86585717064.82767,1445698305.3461537
85195874767.51082,1341720589.123833
83220254281.24191,1447589610.998298
87921185946.2304,1567723948.3966193
77892508563.76506,2385195671.841802
78514634066.11786,2145188661.1897106
82401996260.39745,2295811045.251487
61769304586.4754,4751329944.015829
78076823699.95276,2286099259.0672226
59690479481.65049,5399704170.768401
75344762017.74246,2392862126.6523247
69673175185.72443,3593210071.1913004
80139076083.97621,1877374793.6779485
83122406657.99594,1483881158.899017
77718371987.6242,2028512045.3811808
80948632889.2286,1669533337.4913704
79890605938.79134,1546440700.0631082
77346789254.08801,1984448841.1151912
53476667958.43903,5956911050.907874
74190935990.30605,2303281448.0065393
29718098141.39649,9093647597.769367
79238013527.49182,2070615838.9895494
75627993453.56943,2147506109.585966
52081408516.879,5633753042.083298
52904586264.712326,5353775819.78265
79382610193.18727,1381726359.5420744
65357897709.63324,3600520711.487193
72467893376.58195,2458964482.2898884
28409000301.61442,8909254694.251574
62004633787.59908,3746879603.654237
81087618515.75348,1030435577.6087234
53528595790.63583,5477364503.973614
49430525508.356064,5792180136.530201
83190578030.0617,1149869223.5152278
65030271757.512535,3148982451.6208982
78538899400.77965,1344710387.8131444
77931117672.61089,1459770778.5619204
68451397757.12712,3147934278.854107
77605832993.50357,1077761177.9492362
83093146407.45624,384004787.1554725
76646966387.46529,1681734702.7289352
