galaxyID,timestep,t,dt,z,M_star,R_halflight_pc,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10_old,sSFR_10,sSFR_100_old,sSFR_100
523,2554,8.611815397976020,0.12787431404341,0.4995510834080270,330617937.61544100,10464.335081429400,10.464335081429,10464.299999977200,8.945338314799760,39.28715444331650,175104.34759599600,3157813.4662825700,0.0005296274874222600,-10.2760294833002000000,0.009551246641540630,-10.019939940017500000
523,2496,8.416638813384480,0.195176584591540,0.5267076106157150,326856739.35190700,10279.237443185000,10.279237443185,10279.14999997760,9.059754014620780,39.655979062182400,557111.1249233330,3897321.098324390,0.0017044504758506000,-9.7684156130195800000,0.01192363696111030,-9.92359125539911000
523,2400,8.093587914749290,0.323050898635190,0.5737963620253290,320771901.850625,9992.578959302190,9.992578959302,9992.599999978190,9.159305133798490,38.430395301436700,376360.41733371600,3232471.063370580,0.0011732960872270500,-9.9305923776351500000,0.01007716400570480,-9.99666167324447000
523,2304,7.770537016115510,0.323050898633780,0.6238070024588490,313978645.0689390,9701.021172038550,9.701021172039,9700.999999978830,9.260697101732860,38.58833244536490,204251.17945467000,2291459.6897409000,0.0006505257050517670,-10.1867355379316000000,0.007298138665570000,-10.136787889242200000
523,2208,7.447486117479620,0.323050898635890,0.677073924853728,309722791.9678130,7271.417118564320,7.271417118564,7271.4000000176900,9.49852770237268,38.425461833997600,252317.42266102500,1227302.4749523700,0.0008146556508093410,-10.0890259256840000000,0.00396258366119829,-10.40202155550900000
523,2112,7.1244352188440100,0.32305089863561,0.7339871666987250,306061209.1293130,9169.037367813200,9.169037367813,9168.899999987230,9.68722737353824,39.67650604319400,303346.10509491600,3569501.7327948300,0.0009911288854862710,-10.0038698665885000000,0.011662705453426800,-9.933200692527020000
523,2087,7.040307380657530,0.08412783818648,0.7494616046339210,305354361.62984400,9093.46416157699,9.09346416158,9093.749999988560,9.731453424390310,37.79058224115350,1222309.0358429300,9981619.01672955,0.0040029198512796600,-9.3976231054970600000,0.03268864071059000,-9.48560313828056000
523,2016,6.80138432020901,0.23892306044852,0.7950046717018670,293332429.97931100,8833.14144794412,8.83314144794,8833.199999993160,9.672616390276710,37.90299916834930,441914.8731626090,1504543.4983458600,0.001506532616232640,-9.822021461470530000,0.005129141358328410,-10.289955331681800000
523,1920,6.478333421571770,0.32305089863724,0.8606679900523640,288811817.36915700,6576.013985794750,6.576013985795,6576.300000003590,9.795848598477270,35.648089521277400,56626.86419814020,1324636.9027435900,0.00019606837668197000,-10.70759244682180000000,0.004586505201933790,-10.338518109586900000
523,1824,6.1552825229314800,0.32305089864029,0.9316226108085980,274880996.136251,6335.456165888250,6.335456165888,6335.400000014280,9.844660749823980,38.17579697332070,541667.4074773510,2479635.7571062400,0.0019705524030073800,-9.7054120114280000000,0.00902076095459563,-10.04475682560190000
523,1739,5.869247873097480,0.286034649834,0.9994830608957050,270428162.4681470,6122.516954472430,6.122516954472,6122.350000003340,10.128725105285400,37.90618735013750,905637.9424484020,8637913.50066779,0.0033489039535779600,-9.4750973078286800000,0.03194161962212500,-9.49564306643428000
523,1728,5.832231624291420,0.037016248806060,1.008644622541780,268183390.85032700,6096.6690638094600,6.0966690638095,6096.150000003330,10.130164575587900,38.39803374869430,1207883.9621057500,8956730.822292920,0.004503947683993120,-9.346406662713780000,0.033397783486493600,-9.476282355090450000
523,1632,5.509180725650190,0.323050898641230,1.0926761541118700,256972800.2106010,5854.068100474050,5.854068100474,5854.300000003200,10.008848048014500,36.46070362497980,228867.94889899600,6068618.251849710,0.0008906310267523590,-10.0503021795028000000,0.02361579998690990,-9.62679733808153000
523,1536,5.186129827006310,0.323050898643880,1.1848732073632800,239734042.86905300,5616.752675942430,5.616752675942,5616.650000003060,9.919107255707580,35.94680541376890,185949.17806595500,4986042.393933180,0.000775647779683602,-10.110335446352200000,0.02079822429164410,-9.68197374259783000
523,1474,4.9774927883007900,0.20863703870552,1.2494155616281300,235437899.03701400,5460.786589579610,5.460786589580,5460.750000002980,10.002989860878200,36.74218742509840,193996.81336444500,7634248.092213450,0.0008239829447932100,-10.0840817774520000000,0.03242573996556630,-9.48911010439437000
523,1440,4.863078928366590,0.1144138599342,1.2866713145875200,228228032.17095000,5375.1629770834800,5.3751629770835,5375.35000001079,9.946883666206320,35.46442460720640,3168639.6044713000,11007470.573586900,0.013883656509371600,-8.857496139593670000,0.048230142760649000,-9.316681452569710000
523,1344,4.540028029728790,0.323050898637800,1.399877385748710,209411079.71949400,5130.471045687960,5.130471045688,-1,10.085277855812100,34.755887798637700,891345.3557118080,8912146.595549650,0.004256438374252990,-9.370953650046920000,0.04255814261350190,-9.37101733443268000
523,1268,4.284279401641340,0.255748628087450,1.4990917335161400,195105084.88633300,4923.692107231570,4.923692107232,4923.800000002690,10.049391170197700,33.88065538918070,1652127.734589820,12369537.446543500,0.008467886603531320,-9.072224966404910000,0.06339935965149190,-9.19791512857297000
523,1248,4.216977131090060,0.067302270551280,1.526800967182170,188370701.43233200,4871.015052467380,4.871015052467,4871.250000002660,9.997375094377210,36.13011236693320,1627056.1863396000,9539680.939595940,0.008637522576323180,-9.063610804479130000,0.050643124790947700,-9.295479505249840000
523,1152,3.8939262324449000,0.32305089864516,1.6704464395336700,162119042.89139000,4613.681114759800,4.613681114760,4613.650000008020,9.495979059207520,31.882050437066500,214374.93040072200,3022560.610412100,0.001322330347979790,-9.878660034727510000,0.018644081265869800,-9.729459012731410000
523,1104,3.732400783126120,0.16152544931878,1.7497370763236700,147281226.73645100,4387.1631756922100,4.3871631756922,-1,9.113341173282680,36.69720246896410,3234707.119930830,7615643.497549770,0.021962793165208400,-8.658312428379630000,0.05170817534795110,-9.28644078712249000
523,1056,3.570875333806330,0.161525449319790,1.8348024148876700,141854682.06739600,4361.623948621390,4.361623948621,-1,8.950659008973700,32.05921227457880,1071792.614674370,11877987.455773400,0.007555567423323750,-9.121732914572500000,0.08373348896675850,-9.07710081244103000
523,972,3.28820579749815,0.28266953630818,1.99981849055016,127191703.51810900,4127.386327715420,4.127386327715,-1,8.493704950167280,26.251727636713700,25255.475952581700,8009886.880944010,0.0001985622902596470,-10.7021032265716000000,0.06297491628299170,-9.20083240116782000
523,960,3.2478244351686500,0.0403813623295,2.0252918418888400,127132584.73291900,4092.8232022185700,4.0928232022186,4092.950000002230,8.40076092330712,29.548056224603200,2797551.2832465700,7731339.111964930,0.02200499021650260,-8.65747882018987000,0.06081319850616560,-9.21600215401132000
523,864,2.924773536528130,0.32305089864052,2.249499247232030,116954745.07350300,3712.423061504630,3.712423061505,3711.850000002030,7.790121113815270,25.598649543409900,31083.034172761500,4893961.765237740,0.00026576975695365500,-10.57549444075760000000,0.04184491840978340,-9.37835727460231000
523,775,2.6252784325778100,0.29949510395032,2.496966179540210,91664267.42712710,3564.7416549476600,3.5647416549477,3564.6000000042000,6.857449634108280,27.5332694297042,885622.8463930400,2932134.548489050,0.00966159302038942,-9.01495126044520000,0.031987759579490400,-9.495016176806740000
