galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_warmgas_global,sigma_warmgas_los,sigma_warmgasNearYS_global,sigma_warmgasNearYS_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
613,001920,6.478333421643941,0.8606679900371311,228501101.10324922,1692.7399995594315,1549.9263480266227,1.373291015625,20.114554240644754,12.591215239519103,16.07737164869281,11.533033146440541,17.41534952806053,12.591215239519103,23.95775928351328,17.5059240257372,15.05504572087107,10.753659032634422,15.235251958173611,11.878456757004795,11.77808550790338,11.188977723691176,12.606105303037875,11.473974581892186,-0.22014104341894636,240715.43620213374,2528248.8017147956,-9.977384356305588,-9.956068487118108
613,001824,6.1552825229891335,0.9316226107954201,225673803.94816437,1575.9945444973666,1445.7642374216443,1.41143798828125,22.976349132500438,13.455778056025391,17.27178857525699,13.666320614886171,18.33008330691802,13.455778056025391,24.60025378555283,17.174267896218694,16.040332234270895,11.368012278079174,16.3232474893139,12.480272227830675,13.36317021846628,11.473672042641732,14.611718620149503,11.822254864277586,-0.21848556905963248,275637.2353406286,2402344.4196187905,-9.913143264151678,-9.972845877897422
613,001728,5.832231624320745,1.0086446225344814,213191617.3775843,1462.131343937433,1343.8799000762938,1.2969970703125,21.627037668531234,9.464404203136901,13.553136300485498,10.103233099397114,18.429892600860576,9.464404203136901,24.177782231432555,17.391735700085874,15.637928534130385,11.282321217408532,16.180609280246035,12.91857613083386,13.640858925432067,11.41609767915087,13.093959969606157,10.810061351892593,-0.22362622115760922,290052.5480514434,1980854.92106682,-9.866293439370573,-10.031917455647676
613,001632,5.5091807256800625,1.0926761541037366,206322727.0491296,1350.3258262309898,1243.533589893174,1.373291015625,19.744908221387057,13.147658959436008,17.18388898058081,13.476663490969072,18.527392060024404,13.147658959436008,25.712742081012532,18.420654726215794,16.84952219690351,12.235574893888957,15.786536950951456,12.141793638794102,14.052973729743007,11.130152507018622,14.487704493281493,11.964616722994364,-0.21834192498479169,236606.55303013147,1787953.971532738,-9.940520300777209,-10.062190735132633
613,001536,5.186129827027372,1.184873207356975,201744668.27155265,1240.603565952029,1145.0538007276577,1.25885009765625,24.98301115775229,11.966579466680367,17.17828361028817,12.101543052490694,20.989150889282094,11.966579466680367,28.845491285255818,19.728612451481663,17.613747680192656,12.752156633937176,18.77857781566594,14.319203391916233,19.01910032738325,14.036306041404881,19.19005593422451,13.540842921870809,-0.25406859188887804,1043031.1453991726,4671282.192800069,-9.286504789110325,-9.635365962097705
613,001440,4.863078928389474,1.2866713145799282,187991330.8291418,1133.3673736157039,1048.167922320589,1.18255615234375,20.93579022121956,9.49382829685832,13.010999481687287,9.189769662751406,19.017548323467224,9.49382829685832,26.26984328326566,18.44987013756195,17.33425376794421,12.47001128308538,16.048403240161544,12.21276639590618,15.877209429141834,11.83149508130125,16.0695415194753,11.798484373750746,-0.2282646161590532,480285.7429256835,2294159.4156694175,-9.592638127362793,-9.91351422964729
613,001344,4.5400280297436915,1.3998773857431928,181380053.5922517,1029.705899635726,954.4372509634752,1.1444091796875,22.278614485087612,13.590951920026772,19.558556628386157,13.778847719965771,21.75284172431251,13.590951920026772,31.294722282691243,21.251973962278463,19.38752266264807,14.015339390029883,19.170627765889282,14.30873623064015,16.358641645566117,13.413446121384876,18.425065180222187,12.849420772592026,-0.25003787595448523,891125.0277312008,6472960.513770245,-9.308650884646207,-9.44748656813107
613,001248,4.216977131100514,1.526800967177807,170292684.48393908,928.7846326556698,862.1584712175702,1.10626220703125,21.61252130313031,10.403467845464931,11.949098568628354,10.842787954837455,21.810458963002844,10.403467845464931,31.20335078429115,21.398874125434844,20.539220428279048,15.282048028617943,18.257256102280206,14.204189189100742,18.338380596668642,14.039564282594226,18.930917797150354,13.956884422829809,-0.2422843978346841,2303873.5740585825,6986973.437492086,-8.868737348399847,-9.386906899537488
613,001152,3.8939262324577366,1.6704464395275833,156250339.57742724,832.738881407855,774.385563140901,1.10626220703125,21.35439660664478,9.278897116960323,10.402613151972583,8.626828297512676,22.24784303038167,9.278897116960323,35.48827794520328,24.062474498316167,21.37845614825848,16.48501664956416,18.703579035769526,14.288928063313907,14.66851919581159,10.924512613701431,15.01614002510599,11.44309976183084,-0.25704775847684636,227392.44518260373,7384750.1684403,-9.837044938141641,-9.325485162472365
613,001056,3.5708753338159727,1.8348024148824067,144564803.723324,739.1602839491569,688.6024142452289,0.95367431640625,20.70392248232242,12.20385559001143,14.684236183904316,11.549667203048081,21.629897318851437,12.20385559001143,33.240788294626206,22.85971098358909,21.309086226353514,16.67129828001434,17.485899184830764,14.34093714943295,15.278013309350703,10.675022130439896,16.20318471361139,11.049290016154282,-0.3302824681192094,414835.772671101,3459993.448114989,-9.542186370909995,-9.620987294493958
613,000960,3.247824435176229,2.0252918418840102,138440802.99393243,645.0785365140939,602.6581075300746,0.9918212890625,21.782963280367902,7.02623113695069,9.921533632511228,6.923518588005267,20.252922701565847,7.02623113695069,32.24217674123469,22.15914688665005,19.635990280259623,14.485473842075208,17.39608199088374,12.696079114158223,14.923980948252826,9.578539483005349,16.439879684961163,10.401808783298705,-0.3107127562366986,373605.0258041426,3728260.9164229766,-9.568851399847004,-9.569757811498782
613,000864,2.924773536527572,2.249499247232453,130722968.88422717,557.4702305108733,522.6130945826399,0.9250640869140625,20.95677883547314,7.011526288803478,10.381594080971793,7.098629555381791,19.377717574000044,7.011526288803478,30.02820581438431,22.605924042429475,18.59105151227669,14.609201004402635,16.15390805852405,12.776317457361044,12.30713011162149,8.795966461187737,13.542444131376467,9.148469326922129,-0.34019367785878535,159254.9211932358,3902805.986524299,-9.914259041174466,-9.524974940194344
613,000768,2.6017226378781118,2.5184004086549945,114348638.19107616,474.0275292874205,443.8577612637892,3.0517578125,17.865397768576756,2.5972901608786865,3.9334285086007674,2.584480983707659,22.355338609796547,2.5972901608786865,28.82349413275226,19.93432358099662,21.94603851283805,16.152522927288306,21.904112185045953,15.483453369381017,6.845763760569625,4.8025826563576395,6.144280963414583,4.794029391610371,-0.0004908026839999974,4894.017272656041,4163678.521682132,-11.368565499051059,-9.438753806659818
613,000672,2.2786717392361453,2.848559743307671,77962768.95525128,393.4998226591407,371.94203253922603,0.64849853515625,14.77353799549545,6.1713709366462055,6.549066059575545,5.828804305299212,17.97211999388656,6.1713709366462055,27.5040054952776,18.394628392786927,17.36400487530173,12.989926322199885,16.473484623893725,11.840188552886701,12.043581111532575,9.559762350848766,12.12508752192455,9.177774577276663,-0.3668566524891564,485474.4318674846,2651720.2912191013,-9.205720893115538,-9.468359543392284
